MONTH,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
6,1.1103884E7,17.43998894283098,0.0,2041.0,629746.0,0.9890920399377406,0.0,1431.0,3152735.0,4.951750535188969,0.0,2041.0,2674753.0,4.201022159886036,0.0,1741.0,24691.0,0.03878019321774613,0.0,1078.0,4621959.0,7.259344014600489,0.0,1381.0
7,1.0339188E7,15.688517500747311,0.0,2350.0,702236.0,1.0655616065453872,0.0,1385.0,3072734.0,4.66251712747087,0.0,2315.0,2425732.0,3.6807667037414133,0.0,1375.0,10735.0,0.016289116260437705,0.0,560.0,4127751.0,6.2633829467292035,0.0,1421.0
8,9573779.0,14.539629530070878,0.0,1658.0,516547.0,0.7844762256230817,0.0,1440.0,2834587.0,4.304866954914566,0.0,1647.0,2415219.0,3.667975779886736,0.0,1427.0,11267.0,0.017111112123572997,0.0,434.0,3796159.0,5.765199457522921,0.0,1269.0
5,8876293.0,13.947882587721367,0.0,1724.0,585363.0,0.9198180361099326,0.0,1299.0,2523034.0,3.9646034664278194,0.0,1690.0,2165492.0,3.4027750278917015,0.0,1265.0,7501.0,0.011786797404107544,0.0,196.0,3594903.0,5.648899259887805,0.0,1651.0
12,8584420.0,13.718324669243787,0.0,2695.0,389344.0,0.6221908294354253,0.0,1847.0,2684814.0,4.290464600815325,0.0,2695.0,1922148.0,3.0716868846512178,0.0,1237.0,11081.0,0.017707982095457864,0.0,366.0,3577033.0,5.716274372246362,0.0,1627.0
2,8251759.0,15.47664275331739,0.0,2649.0,562827.0,1.0556140104093403,0.0,1521.0,2451971.0,4.598810896985042,0.0,2592.0,2022692.0,3.7936737468936093,0.0,1516.0,18089.0,0.03392694706240915,0.0,442.0,3196180.0,5.99461715196699,0.0,2206.0
4,7677041.0,12.543713226463712,0.0,2075.0,426181.0,0.6963480130648685,0.0,1410.0,2402803.0,3.926001147015717,0.0,1768.0,1753591.0,2.8652370907629288,0.0,1418.0,9395.0,0.01535073028301224,0.0,1048.0,3085071.0,5.040776245337185,0.0,2014.0
1,7162790.0,12.265366404959032,0.0,1638.0,465981.0,0.7979331660915948,0.0,1416.0,2115602.0,3.6226992131647218,0.0,1638.0,1947490.0,3.334828805534389,0.0,1447.0,8366.0,0.014325710420644365,0.0,816.0,2625351.0,4.495579509747682,0.0,1514.0
3,6898399.0,10.913910396567491,0.0,1928.0,282709.0,0.4472719966333056,0.0,1203.0,2399642.0,3.796457376826131,0.0,1928.0,1397443.0,2.2108851178817672,0.0,1424.0,10208.0,0.016150007752256855,0.0,278.0,2808397.0,4.44314589747403,0.0,1716.0
10,6543736.0,10.28866660167858,0.0,2034.0,252409.0,0.3968607609266463,0.0,1552.0,2080970.0,3.2718933859946477,0.0,1933.0,1655389.0,2.602755599719503,0.0,1371.0,7483.0,0.01176546428223278,0.0,198.0,2547485.0,4.005391390755549,0.0,2010.0
9,5544159.0,9.149094275544202,0.0,1744.0,243716.0,0.40218555428488445,0.0,1167.0,1756766.0,2.899054257655793,0.0,1688.0,1521644.0,2.5110507129785025,0.0,1567.0,5602.0,0.009244544777954352,0.0,222.0,2016431.0,3.3275592058470673,0.0,1357.0
11,5334273.0,8.854255850663868,0.0,1966.0,225442.0,0.3742067845956448,0.0,1575.0,1877302.0,3.1160970233362604,0.0,1966.0,1143261.0,1.8976766652336365,0.0,1493.0,9066.0,0.01504847681063917,0.0,265.0,2079202.0,3.4512269006876886,0.0,1778.0
