ORIGIN,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
ORD,5880169.0,17.314679363733266,0.0,1556.0,398836.0,1.1744079904359759,0.0,1167.0,1653736.0,4.869572386824732,0.0,1324.0,1420842.0,4.183795339304959,0.0,1288.0,1482.0,0.00436388049681101,0.0,172.0,2405273.0,7.082539766670789,0.0,1514.0
DFW,4419086.0,14.520036537602188,0.0,1627.0,323553.0,1.0631160791735668,0.0,1264.0,1459904.0,4.79688773230292,0.0,1619.0,807090.0,2.6519004810346187,0.0,1073.0,1761.0,0.005786215598138948,0.0,192.0,1826778.0,6.0023460294929425,0.0,1173.0
ATL,3693902.0,9.351437562182127,0.0,1461.0,254586.0,0.6445068340215033,0.0,1161.0,1360297.0,3.4437114091071344,0.0,1444.0,885994.0,2.2429716791262986,0.0,1215.0,3666.0,0.009280801196934753,0.0,286.0,1189359.0,3.0109668387302566,0.0,1046.0
DEN,3654332.0,14.499821446993565,0.0,1624.0,217401.0,0.8626133811590868,0.0,1111.0,1117132.0,4.432606159681938,0.0,1594.0,799294.0,3.1714743716918097,0.0,923.0,2150.0,0.008530865863045876,0.0,336.0,1518355.0,6.024596668597685,0.0,1227.0
LGA,3121800.0,18.1854192759153,0.0,1654.0,127630.0,0.7434829464363731,0.0,1203.0,688980.0,4.01351469431742,0.0,1556.0,797337.0,4.644726647831533,0.0,1523.0,2603.0,0.015163254012174875,0.0,816.0,1505250.0,8.768531733317799,0.0,1248.0
CLT,2912683.0,12.368290756530897,0.0,1467.0,183164.0,0.7777796650473894,0.0,1080.0,836627.0,3.5526166049529504,0.0,1467.0,578506.0,2.4565427862893636,0.0,1160.0,8979.0,0.0381280361449876,0.0,560.0,1305407.0,5.543223664096206,0.0,982.0
EWR,2855069.0,20.98065857834672,0.0,1400.0,145215.0,1.0671217877587613,0.0,1239.0,699046.0,5.136984590060332,0.0,1202.0,670106.0,4.924317134647747,0.0,952.0,2311.0,0.016982532462283494,0.0,288.0,1338391.0,9.835252533417597,0.0,1365.0
IAH,2718027.0,15.12636903966876,0.0,1596.0,238160.0,1.3254084858198656,0.0,1103.0,919218.0,5.115633765193001,0.0,1596.0,581831.0,3.2380069898935933,0.0,1000.0,1026.0,0.005709897155068786,0.0,156.0,977792.0,5.44160990160723,0.0,1021.0
SFO,2516050.0,14.720801787991903,0.0,1724.0,37460.0,0.21916942627458783,0.0,906.0,780907.0,4.5688985361401375,0.0,1690.0,499985.0,2.9252916603283445,0.0,1138.0,2951.0,0.0172655893469383,0.0,176.0,1194747.0,6.990176575901894,0.0,1437.0
BOS,2456189.0,16.313255492680852,0.0,1558.0,106412.0,0.7067559310326506,0.0,935.0,741524.0,4.924975425732579,0.0,1538.0,654739.0,4.348576020828352,0.0,1237.0,1735.0,0.011523338912356207,0.0,107.0,951779.0,6.321424776174916,0.0,1247.0
LAX,2363305.0,10.744639739579545,0.0,2041.0,24636.0,0.11200625591038045,0.0,1521.0,855332.0,3.888721175529206,0.0,2041.0,547449.0,2.488947588564778,0.0,894.0,5360.0,0.024368953226158434,0.0,306.0,930528.0,4.230595766349022,0.0,1390.0
MCO,2144704.0,14.988077767062212,0.0,1726.0,138408.0,0.9672522956937398,0.0,1026.0,631579.0,4.413735027324695,0.0,1523.0,538686.0,3.7645603589249026,0.0,1051.0,12064.0,0.08430821697625338,0.0,419.0,823967.0,5.75822186814262,0.0,1716.0
DCA,1981037.0,14.212392745430023,0.0,1933.0,105363.0,0.7558972077940712,0.0,1055.0,480317.0,3.445899216575315,0.0,1933.0,495489.0,3.5547464631101673,0.0,1428.0,1418.0,0.010173042155709243,0.0,134.0,898450.0,6.44567681579476,0.0,1368.0
DTW,1964328.0,12.142871272439542,0.0,2649.0,206317.0,1.2753882102764453,0.0,1211.0,700381.0,4.329539834825182,0.0,2592.0,520043.0,3.2147458088126206,0.0,1207.0,3439.0,0.02125883981998912,0.0,475.0,534148.0,3.301938578705306,0.0,1370.0
JFK,1957133.0,15.392921467615714,0.0,1507.0,106230.0,0.8355027724251839,0.0,1223.0,657134.0,5.168382555350191,0.0,1507.0,615127.0,4.837995988831649,0.0,1106.0,3041.0,0.023917574422902984,0.0,434.0,575601.0,4.527122576585788,0.0,853.0
MSP,1859290.0,11.551254970178926,0.0,1780.0,236440.0,1.4689363817097416,0.0,1196.0,565452.0,3.512997017892644,0.0,1780.0,525354.0,3.2638792246520874,0.0,1195.0,3310.0,0.020564115308151092,0.0,1047.0,528734.0,3.284878230616302,0.0,1456.0
LAS,1809698.0,11.03339836605292,0.0,1910.0,44770.0,0.2729545177417388,0.0,1280.0,614399.0,3.745878551396171,0.0,1910.0,386539.0,2.3566577246677234,0.0,1375.0,1565.0,0.009541519326911352,0.0,136.0,762425.0,4.648366052920376,0.0,1609.0
