ROUTE BETWEEN AIRPORTS,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
ORD -> LGA,362970.0,24.688477758128148,0.0,1185.0,20693.0,1.4074955788328118,0.0,1157.0,61310.0,4.17018092776493,0.0,1122.0,163069.0,11.09162018772956,0.0,932.0,11.0,7.481975241463747E-4,0.0,6.0,117887.0,8.018432866276697,0.0,1046.0
LGA -> ORD,349416.0,23.771413021293966,0.0,1170.0,18905.0,1.2861419144159467,0.0,884.0,57134.0,3.8869310837471938,0.0,1170.0,134194.0,9.129464589427853,0.0,1106.0,21.0,0.001428668616912715,0.0,10.0,139162.0,9.467446765086061,0.0,936.0
LAX -> SFO,235788.0,16.116746411483252,0.0,870.0,599.0,0.04094326725905673,0.0,176.0,38409.0,2.6253588516746413,0.0,796.0,116969.0,7.995146958304853,0.0,870.0,156.0,0.010663021189336978,0.0,105.0,79655.0,5.444634313055365,0.0,452.0
BOS -> LGA,219601.0,21.314277394933516,0.0,1043.0,7500.0,0.7279433174803456,0.0,746.0,47893.0,4.648451907211491,0.0,1043.0,86386.0,8.384548189847617,0.0,962.0,0.0,0.0,0.0,0.0,77822.0,7.55333398039406,0.0,690.0
LGA -> BOS,216002.0,20.95275972451256,0.0,1051.0,6271.0,0.6083034241924532,0.0,1051.0,48307.0,4.685905519449025,0.0,1016.0,58366.0,5.6616548646813465,0.0,983.0,15.0,0.0014550392860607237,0.0,9.0,103043.0,9.995440876903677,0.0,907.0
MCO -> EWR,210954.0,30.533217542336082,0.0,1523.0,10677.0,1.5453755970473295,0.0,661.0,45158.0,6.5361123172673325,0.0,1523.0,102122.0,14.781010276451006,0.0,610.0,187.0,0.027066145607179043,0.0,79.0,52810.0,7.643653205963236,0.0,717.0
SFO -> LAX,199550.0,13.654714657178049,0.0,1118.0,982.0,0.0671958396058574,0.0,204.0,43823.0,2.9986998768304365,0.0,1118.0,42899.0,2.9354728342685097,0.0,893.0,345.0,0.023607499657862324,0.0,117.0,111501.0,7.6297386068153825,0.0,810.0
LAX -> JFK,172956.0,13.447053335406624,0.0,1203.0,1569.0,0.12198724926139014,0.0,459.0,58883.0,4.578059399782305,0.0,1203.0,65431.0,5.087155963302752,0.0,470.0,191.0,0.01484994557611569,0.0,66.0,46882.0,3.6450007774840616,0.0,556.0
DCA -> BOS,169426.0,19.116100643123097,0.0,732.0,7736.0,0.8728421527699425,0.0,383.0,32714.0,3.6910752566850955,0.0,732.0,60326.0,6.806498928128173,0.0,499.0,41.0,0.004625973146790026,0.0,19.0,68609.0,7.741058332393095,0.0,661.0
ATL -> EWR,162111.0,24.757330482590103,0.0,1171.0,5712.0,0.872327428222358,0.0,1161.0,21532.0,3.2883323152107513,0.0,743.0,101413.0,15.4876298106292,0.0,968.0,24.0,0.0036652412950519244,0.0,24.0,33430.0,5.105375687232743,0.0,546.0
