ROUTE BETWEEN CITIES,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
"Chicago, IL -> New York, NY",485675.0,24.435248540953914,0.0,1185.0,25850.0,1.3005634936606962,0.0,1157.0,87243.0,4.389364057154357,0.0,1122.0,199699.0,10.047242906017308,0.0,1093.0,38.0,0.001911853491648219,0.0,18.0,172845.0,8.696166230629906,0.0,1054.0
"New York, NY -> Chicago, IL",457141.0,23.007750767527305,0.0,1259.0,25703.0,1.2936232321707182,0.0,884.0,79182.0,3.9852030801751472,0.0,1259.0,172440.0,8.678846444209572,0.0,1106.0,32.0,0.0016105490965826162,0.0,11.0,179784.0,9.048467461875283,0.0,936.0
"New York, NY -> Boston, MA",334022.0,21.132607870428952,0.0,1068.0,13506.0,0.8544856383651778,0.0,1051.0,82248.0,5.2035935720612425,0.0,1016.0,93540.0,5.918005820574465,0.0,983.0,198.0,0.012526888523345565,0.0,82.0,144530.0,9.143995950904719,0.0,907.0
"Boston, MA -> New York, NY",307649.0,19.53451012762715,0.0,1043.0,12986.0,0.8245602895421932,0.0,894.0,72788.0,4.621753762143628,0.0,1043.0,110124.0,6.992443964696172,0.0,962.0,0.0,0.0,0.0,0.0,111751.0,7.095752111245158,0.0,690.0
"Los Angeles, CA -> San Francisco, CA",235788.0,16.116746411483252,0.0,870.0,599.0,0.04094326725905673,0.0,176.0,38409.0,2.6253588516746413,0.0,796.0,116969.0,7.995146958304853,0.0,870.0,156.0,0.010663021189336978,0.0,105.0,79655.0,5.444634313055365,0.0,452.0
"Washington, DC -> New York, NY",212722.0,18.537864923747275,0.0,1104.0,8634.0,0.7524183006535947,0.0,738.0,33337.0,2.9051851851851853,0.0,864.0,105964.0,9.234335511982572,0.0,927.0,209.0,0.01821350762527233,0.0,134.0,64578.0,5.6277124183006535,0.0,533.0
"Orlando, FL -> Newark, NJ",210954.0,30.533217542336082,0.0,1523.0,10677.0,1.5453755970473295,0.0,661.0,45158.0,6.5361123172673325,0.0,1523.0,102122.0,14.781010276451006,0.0,610.0,187.0,0.027066145607179043,0.0,79.0,52810.0,7.643653205963236,0.0,717.0
"Atlanta, GA -> New York, NY",204494.0,15.720633456334564,0.0,1461.0,7458.0,0.573339483394834,0.0,740.0,46697.0,3.589867773677737,0.0,1323.0,103636.0,7.9670971709717096,0.0,600.0,608.0,0.046740467404674045,0.0,221.0,46095.0,3.543588560885609,0.0,479.0
"New York, NY -> Atlanta, GA",200185.0,15.39174227279717,0.0,1108.0,7320.0,0.5628171613101646,0.0,393.0,56931.0,4.377287405812702,0.0,917.0,54051.0,4.155851145625096,0.0,913.0,191.0,0.014685529755497462,0.0,57.0,81692.0,6.28110103029371,0.0,441.0
"San Francisco, CA -> Los Angeles, CA",199550.0,13.654714657178049,0.0,1118.0,982.0,0.0671958396058574,0.0,204.0,43823.0,2.9986998768304365,0.0,1118.0,42899.0,2.9354728342685097,0.0,893.0,345.0,0.023607499657862324,0.0,117.0,111501.0,7.6297386068153825,0.0,810.0
