YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,_c45,ROUTE_PATH
2019,1,3,8,5,2019-03-08T00:00:00.000Z,9E,20363,N8694A,5313,12953,1295304,LGA,"New York, NY",NY,New York,13931,1393102,ORF,"Norfolk, VA",VA,Virginia,1655,1646,-9.0,36.0,1722,1818,5.0,1824,1823,-1.0,0.0,"",0.0,89.0,97.0,56.0,296.0,2,"","","","","","",40.77722222|-73.8725|36.89472222|-76.20111111|OUTSIDE
2019,1,3,8,5,2019-03-08T00:00:00.000Z,9E,20363,N391CA,5348,10397,1039707,ATL,"Atlanta, GA",GA,Georgia,15919,1591904,XNA,"Fayetteville, AR",AR,Arkansas,1718,1718,0.0,18.0,1736,1806,5.0,1816,1811,-5.0,0.0,"",0.0,118.0,113.0,90.0,589.0,3,"","","","","","",33.63666667|-84.42777778|36.28166667|-94.30777778|OUTSIDE
2019,1,3,8,5,2019-03-08T00:00:00.000Z,9E,20363,N840AY,5354,12264,1226402,IAD,"Washington, DC",VA,Virginia,12478,1247805,JFK,"New York, NY",NY,New York,1658,1658,0.0,31.0,1729,1817,6.0,1835,1823,-12.0,0.0,"",0.0,97.0,85.0,48.0,228.0,1,"","","","","","",38.9475|-77.46|40.64|-73.77861111|OUTSIDE
2019,1,3,8,5,2019-03-08T00:00:00.000Z,9E,20363,N819AY,5356,12478,1247805,JFK,"New York, NY",NY,New York,10821,1082106,BWI,"Baltimore, MD",MD,Maryland,1730,1724,-6.0,30.0,1754,1833,4.0,1858,1837,-21.0,0.0,"",0.0,88.0,73.0,39.0,184.0,1,"","","","","","",40.64|-73.77861111|39.17583333|-76.66888889|OUTSIDE
2019,1,3,8,5,2019-03-08T00:00:00.000Z,9E,20363,N927XJ,5369,11066,1106606,CMH,"Columbus, OH",OH,Ohio,11433,1143302,DTW,"Detroit, MI",MI,Michigan,1727,1746,19.0,16.0,1802,1840,9.0,1834,1849,15.0,0.0,"",0.0,67.0,63.0,38.0,155.0,1,3.0,0.0,0.0,0.0,12.0,"",39.99694444|-82.89222222|42.2125|-83.35333333|OUTSIDE
2019,1,3,8,5,2019-03-08T00:00:00.000Z,9E,20363,N935XJ,5378,10397,1039707,ATL,"Atlanta, GA",GA,Georgia,15919,1591904,XNA,"Fayetteville, AR",AR,Arkansas,1553,1726,93.0,16.0,1742,1815,42.0,1650,1857,127.0,0.0,"",0.0,117.0,151.0,93.0,589.0,3,0.0,0.0,34.0,0.0,93.0,"",33.63666667|-84.42777778|36.28166667|-94.30777778|OUTSIDE
2019,1,3,8,5,2019-03-08T00:00:00.000Z,9E,20363,N147PQ,5438,11433,1143302,DTW,"Detroit, MI",MI,Michigan,11042,1104205,CLE,"Cleveland, OH",OH,Ohio,1750,1745,-5.0,18.0,1803,1826,7.0,1849,1833,-16.0,0.0,"",0.0,59.0,48.0,23.0,95.0,1,"","","","","","",42.2125|-83.35333333|41.40944444|-81.85472222|OUTSIDE
2019,1,3,8,5,2019-03-08T00:00:00.000Z,MQ,20398,N674RJ,3896,13930,1393006,ORD,"Chicago, IL",IL,Illinois,13367,1336705,MLI,"Moline, IL",IL,Illinois,1712,1708,-4.0,14.0,1722,1753,6.0,1806,1759,-7.0,0.0,"",0.0,54.0,51.0,31.0,139.0,1,"","","","","","",41.97722222|-87.90805556|41.44833333|-90.5075|OUTSIDE
2019,1,3,8,5,2019-03-08T00:00:00.000Z,MQ,20398,N819AE,3898,10136,1013603,ABI,"Abilene, TX",TX,Texas,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,1701,1700,-1.0,20.0,1720,1753,4.0,1757,1757,0.0,0.0,"",0.0,56.0,57.0,33.0,158.0,1,"","","","","","",32.41138889|-99.68194444|32.89722222|-97.03777778|OUTSIDE
2019,1,3,8,5,2019-03-08T00:00:00.000Z,MQ,20398,N622AE,3979,11042,1104205,CLE,"Cleveland, OH",OH,Ohio,13930,1393006,ORD,"Chicago, IL",IL,Illinois,1754,1802,8.0,13.0,1815,1821,16.0,1839,1837,-2.0,0.0,"",0.0,105.0,95.0,66.0,316.0,2,"","","","","","",41.40944444|-81.85472222|41.97722222|-87.90805556|OUTSIDE
