YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DATE,ROUTE_PATH
2019,3,8,5,9E,N8694A,5313,LGA,"New York, NY",New York,ORF,"Norfolk, VA",Virginia,1655,1646,-9.0,36.0,1722,1818,5.0,1824,1823,-1.0,0.0,"",0.0,89.0,97.0,56.0,296.0,"","","","","",2019-3-8,SAC-LGADAC-ORFDIM-296.0
2019,3,8,5,9E,N391CA,5348,ATL,"Atlanta, GA",Georgia,XNA,"Fayetteville, AR",Arkansas,1718,1718,0.0,18.0,1736,1806,5.0,1816,1811,-5.0,0.0,"",0.0,118.0,113.0,90.0,589.0,"","","","","",2019-3-8,SAC-ATLDAC-XNADIM-589.0
2019,3,8,5,9E,N840AY,5354,IAD,"Washington, DC",Virginia,JFK,"New York, NY",New York,1658,1658,0.0,31.0,1729,1817,6.0,1835,1823,-12.0,0.0,"",0.0,97.0,85.0,48.0,228.0,"","","","","",2019-3-8,SAC-IADDAC-JFKDIM-228.0
2019,3,8,5,9E,N819AY,5356,JFK,"New York, NY",New York,BWI,"Baltimore, MD",Maryland,1730,1724,-6.0,30.0,1754,1833,4.0,1858,1837,-21.0,0.0,"",0.0,88.0,73.0,39.0,184.0,"","","","","",2019-3-8,SAC-JFKDAC-BWIDIM-184.0
2019,3,8,5,9E,N927XJ,5369,CMH,"Columbus, OH",Ohio,DTW,"Detroit, MI",Michigan,1727,1746,19.0,16.0,1802,1840,9.0,1834,1849,15.0,0.0,"",0.0,67.0,63.0,38.0,155.0,3.0,0.0,0.0,0.0,12.0,2019-3-8,SAC-CMHDAC-DTWDIM-155.0
2019,3,8,5,9E,N935XJ,5378,ATL,"Atlanta, GA",Georgia,XNA,"Fayetteville, AR",Arkansas,1553,1726,93.0,16.0,1742,1815,42.0,1650,1857,127.0,0.0,"",0.0,117.0,151.0,93.0,589.0,0.0,0.0,34.0,0.0,93.0,2019-3-8,SAC-ATLDAC-XNADIM-589.0
2019,3,8,5,9E,N147PQ,5438,DTW,"Detroit, MI",Michigan,CLE,"Cleveland, OH",Ohio,1750,1745,-5.0,18.0,1803,1826,7.0,1849,1833,-16.0,0.0,"",0.0,59.0,48.0,23.0,95.0,"","","","","",2019-3-8,SAC-DTWDAC-CLEDIM-95.0
2019,3,8,5,MQ,N674RJ,3896,ORD,"Chicago, IL",Illinois,MLI,"Moline, IL",Illinois,1712,1708,-4.0,14.0,1722,1753,6.0,1806,1759,-7.0,0.0,"",0.0,54.0,51.0,31.0,139.0,"","","","","",2019-3-8,SAC-ORDDAC-MLIDIM-139.0
2019,3,8,5,MQ,N819AE,3898,ABI,"Abilene, TX",Texas,DFW,"Dallas/Fort Worth, TX",Texas,1701,1700,-1.0,20.0,1720,1753,4.0,1757,1757,0.0,0.0,"",0.0,56.0,57.0,33.0,158.0,"","","","","",2019-3-8,SAC-ABIDAC-DFWDIM-158.0
2019,3,8,5,MQ,N622AE,3979,CLE,"Cleveland, OH",Ohio,ORD,"Chicago, IL",Illinois,1754,1802,8.0,13.0,1815,1821,16.0,1839,1837,-2.0,0.0,"",0.0,105.0,95.0,66.0,316.0,"","","","","",2019-3-8,SAC-CLEDAC-ORDDIM-316.0
2019,3,8,5,MQ,N696AE,3988,DSM,"Des Moines, IA",Iowa,ORD,"Chicago, IL",Illinois,1718,1728,10.0,10.0,1738,1827,13.0,1844,1840,-4.0,0.0,"",0.0,86.0,72.0,49.0,299.0,"","","","","",2019-3-8,SAC-DSMDAC-ORDDIM-299.0
2019,3,8,5,YV,N911FJ,5971,DFW,"Dallas/Fort Worth, TX",Texas,TUL,"Tulsa, OK",Oklahoma,1645,1708,23.0,14.0,1722,1803,8.0,1756,1811,15.0,0.0,"",0.0,71.0,63.0,41.0,237.0,15.0,0.0,0.0,0.0,0.0,2019-3-8,SAC-DFWDAC-TULDIM-237.0
2019,3,8,5,AA,N767UW,2181,CLT,"Charlotte, NC",North Carolina,BNA,"Nashville, TN",Tennessee,1615,1658,43.0,24.0,1722,1726,7.0,1642,1733,51.0,0.0,"",0.0,87.0,95.0,64.0,328.0,2.0,0.0,8.0,0.0,41.0,2019-3-8,SAC-CLTDAC-BNADIM-328.0
2019,3,8,5,AA,N992AN,2232,MCO,"Orlando, FL",Florida,MIA,"Miami, FL",Florida,1742,1740,-2.0,13.0,1753,1829,9.0,1855,1838,-17.0,0.0,"",0.0,73.0,58.0,36.0,192.0,"","","","","",2019-3-8,SAC-MCODAC-MIADIM-192.0
2019,3,8,5,MQ,N612AE,3373,DFW,"Dallas/Fort Worth, TX",Texas,TYR,"Tyler, TX",Texas,1725,1725,0.0,26.0,1751,1813,6.0,1812,1819,7.0,0.0,"",0.0,47.0,54.0,22.0,102.0,"","","","","",2019-3-8,SAC-DFWDAC-TYRDIM-102.0
2019,3,8,5,MQ,N671AE,3437,DFW,"Dallas/Fort Worth, TX",Texas,ACT,"Waco, TX",Texas,1735,1733,-2.0,15.0,1748,1807,4.0,1815,1811,-4.0,0.0,"",0.0,40.0,38.0,19.0,89.0,"","","","","",2019-3-8,SAC-DFWDAC-ACTDIM-89.0
2019,3,8,5,MQ,N606AE,3453,GRR,"Grand Rapids, MI",Michigan,ORD,"Chicago, IL",Illinois,1729,1733,4.0,16.0,1749,1722,16.0,1734,1738,4.0,0.0,"",0.0,65.0,65.0,33.0,137.0,"","","","","",2019-3-8,SAC-GRRDAC-ORDDIM-137.0
