ROUTE_PATH,ORIGIN_AIRPORT_SEQ_ID,DEST_AIRPORT_SEQ_ID,AIR_TIME_AVG,DISTANCE
1621802->1410702,1621802,1410702,31.22222222222222,160.0
1621801->1410702,1621801,1410702,29.666666666666668,160.0
1621801->1129806,1621801,1129806,142.0,1022.0
1599102->1252306,1599102,1252306,34.666666666666664,198.0
1599102->1092603,1599102,1092603,38.666666666666664,213.0
1591904->1562404,1591904,1562404,77.0,601.0
1591904->1477104,1591904,1477104,244.66666666666666,1550.0
1591904->1476106,1591904,1476106,109.0,920.0
1591904->1393007,1591904,1393007,73.6,522.0
1591904->1393006,1591904,1393006,80.5,522.0
1591904->1348702,1591904,1348702,88.5,596.0
1591904->1295304,1591904,1295304,145.16666666666666,1147.0
1591904->1288903,1591904,1288903,187.0,1163.0
1591904->1226603,1591904,1226603,82.21428571428571,438.0
1591904->1161802,1591904,1161802,138.66666666666666,1131.0
1591904->1129806,1591904,1129806,52.30434782608695,280.0
1591904->1129202,1591904,1129202,102.42857142857143,616.0
1591904->1127805,1591904,1127805,122.0,963.0
1591904->1105703,1591904,1105703,98.81818181818181,754.0
1591904->1039707,1591904,1039707,80.2,589.0
1584102->1425605,1584102,1425605,9.666666666666666,31.0
1584102->1281902,1584102,1281902,23.333333333333332,82.0
1562404->1591904,1562404,1591904,100.0,601.0
1562404->1393006,1562404,1393006,132.0,796.0
1562404->1385103,1562404,1385103,121.0,726.0
1562404->1226603,1562404,1226603,98.875,528.0
1562404->1161802,1562404,1161802,138.0,988.0
1562404->1129806,1562404,1129806,110.84615384615384,641.0
1562404->1127805,1562404,1127805,106.33333333333333,789.0
1562404->1119302,1562404,1119302,90.0,600.0
1562404->1105703,1562404,1105703,66.75,460.0
1562404->1082106,1562404,1082106,108.0,819.0
1562404->1067602,1562404,1067602,88.0,587.0
1562404->1039707,1562404,1039707,43.61904761904762,250.0
1560702->1039707,1560702,1039707,47.375,208.0
1558203->1129202,1558203,1129202,39.0,259.0
1545405->1393007,1545405,1393007,38.6,222.0
1541205->1476106,1541205,1476106,68.0,511.0
1541205->1411206,1541205,1411206,76.66666666666667,550.0
1541205->1410005,1541205,1410005,85.66666666666667,554.0
1541205->1408202,1541205,1408202,77.0,624.0
1541205->1393007,1541205,1393007,84.55555555555556,475.0
1541205->1393006,1541205,1393006,86.0,475.0
1541205->1348702,1541205,1348702,123.0,792.0
1541205->1330303,1541205,1330303,99.66666666666667,724.0
1541205->1295304,1541205,1295304,91.76923076923077,648.0
1541205->1288903,1541205,1288903,256.0,1739.0
1541205->1226603,1541205,1226603,126.0,771.0
1541205->1226402,1541205,1226402,65.33333333333333,420.0
1541205->1169706,1541205,1169706,96.33333333333333,708.0
1541205->1161802,1541205,1161802,90.33333333333333,631.0
1541205->1143302,1541205,1143302,74.6,443.0
1541205->1129806,1541205,1129806,135.54545454545453,771.0
1541205->1129202,1541205,1129202,"",1162.0
