DEST_AIRPORT_SEQ_ID,ORIGIN_AIRPORT_SEQ_ID,ROUTE_PATH,AIR_TIME_AVG,DISTANCE,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,ORIGIN_UTC_LOCAL_TIME_VARIATION,DEST_LATITUDE,DEST_LONGITUDE,DEST_UTC_LOCAL_TIME_VARIATION
1348702,1686901,1686901->1348702,72.9090909090909,553.0,48.26083333,-103.75111111,-600,44.88194444,-93.22166667,-600
1129202,1686901,1686901->1129202,79.5,582.0,48.26083333,-103.75111111,-600,39.86166667,-104.67305556,-700
1410702,1621802,1621802->1410702,31.473333333333333,160.0,32.65666667,-114.60611111,-700,33.43416667,-112.01166667,-700
1129806,1621802,1621802->1129806,128.28571428571428,1022.0,32.65666667,-114.60611111,-700,32.89722222,-97.03777778,-600
1410702,1621801,1621801->1410702,29.666666666666668,160.0,32.65666667,-114.60583333,-700,33.43416667,-112.01166667,-700
1129806,1621801,1621801->1129806,142.0,1022.0,32.65666667,-114.60583333,-700,32.89722222,-97.03777778,-600
1252306,1599102,1599102->1252306,35.27777777777778,198.0,59.50333333,-139.66027778,-900,58.35472222,-134.57833333,-900
1092603,1599102,1599102->1092603,38.114285714285714,213.0,59.50333333,-139.66027778,-900,60.49166667,-145.4775,-900
1562404,1591904,1591904->1562404,81.63636363636364,601.0,36.28166667,-94.30777778,-600,30.48333333,-86.52527778,-600
1477104,1591904,1591904->1477104,225.02777777777777,1550.0,36.28166667,-94.30777778,-600,37.61888889,-122.37555556,-800
1476107,1591904,1591904->1476107,120.57142857142857,920.0,36.28166667,-94.30777778,-600,28.77722222,-81.235,-500
1476106,1591904,1591904->1476106,121.83333333333333,920.0,36.28166667,-94.30777778,-600,28.77694444,-81.235,-500
1410005,1591904,1591904->1410005,140.15384615384616,1066.0,36.28166667,-94.30777778,-600,39.87194444,-75.24055556,-500
1393007,1591904,1591904->1393007,78.93991416309012,522.0,36.28166667,-94.30777778,-600,41.97444444,-87.90666667,-600
1393006,1591904,1591904->1393006,80.5,522.0,36.28166667,-94.30777778,-600,41.97722222,-87.90805556,-600
1348702,1591904,1591904->1348702,87.01785714285714,596.0,36.28166667,-94.30777778,-600,44.88194444,-93.22166667,-600
1295304,1591904,1591904->1295304,150.2840909090909,1147.0,36.28166667,-94.30777778,-600,40.77722222,-73.8725,-500
1289208,1591904,1591904->1289208,178.5,1371.0,36.28166667,-94.30777778,-600,33.9425,-118.40805556,-800
1288903,1591904,1591904->1288903,166.72727272727272,1163.0,36.28166667,-94.30777778,-600,36.08,-115.15222222,-800
1226603,1591904,1591904->1226603,81.19858156028369,438.0,36.28166667,-94.30777778,-600,29.98444444,-95.34138889,-600
1161802,1591904,1591904->1161802,145.83870967741936,1131.0,36.28166667,-94.30777778,-600,40.6925,-74.16861111,-500
1129806,1591904,1591904->1129806,50.82392026578073,280.0,36.28166667,-94.30777778,-600,32.89722222,-97.03777778,-600
1129202,1591904,1591904->1129202,99.2463768115942,616.0,36.28166667,-94.30777778,-600,39.86166667,-104.67305556,-700
1127805,1591904,1591904->1127805,122.83870967741936,963.0,36.28166667,-94.30777778,-600,38.85138889,-77.03777778,-500
1105703,1591904,1591904->1105703,101.21538461538462,754.0,36.28166667,-94.30777778,-600,35.21361111,-80.94916667,-500
1069302,1591904,1591904->1069302,61.666666666666664,426.0,36.28166667,-94.30777778,-600,36.12444444,-86.67805556,-600
1046602,1591904,1591904->1046602,166.0,1006.0,36.28166667,-94.30777778,-600,33.30777778,-111.65555556,-700
1039707,1591904,1591904->1039707,79.72020725388602,589.0,36.28166667,-94.30777778,-600,33.63666667,-84.42777778,-500
1486903,1589702,1589702->1486903,48.92857142857143,273.0,44.68833333,-111.11777778,-700,40.78833333,-111.97777778,-700
1425605,1584102,1584102->1425605,10.444444444444445,31.0,56.48444444,-132.36972222,-900,56.80138889,-132.94611111,-900
1281902,1584102,1584102->1281902,21.90909090909091,82.0,56.48444444,-132.36972222,-900,55.35416667,-131.71111111,-900
1591904,1562404,1562404->1591904,88.0,601.0,30.48333333,-86.52527778,-600,36.28166667,-94.30777778,-600
1541205,1562404,1562404->1541205,54.833333333333336,395.0,30.48333333,-86.52527778,-600,35.80944444,-83.99527778,-500
1537002,1562404,1562404->1537002,93.5,669.0,30.48333333,-86.52527778,-600,36.19833333,-95.88805556,-600
1529502,1562404,1562404->1529502,102.33333333333333,780.0,30.48333333,-86.52527778,-600,41.58694444,-83.80777778,-500
1481402,1562404,1562404->1481402,71.0,452.0,30.48333333,-86.52527778,-600,32.44666667,-93.82555556,-600
1478302,1562404,1562404->1478302,89.375,610.0,30.48333333,-86.52527778,-600,37.24555556,-93.38861111,-600
1473004,1562404,1562404->1473004,76.25,532.0,30.48333333,-86.52527778,-600,38.17416667,-85.73638889,-500
1473003,1562404,1562404->1473003,79.25,532.0,30.48333333,-86.52527778,-600,38.17416667,-85.73638889,-500
1451202,1562404,1562404->1451202,109.0,820.0,30.48333333,-86.52527778,-600,42.19527778,-89.09722222,-600
1412202,1562404,1562404->1412202,104.6,775.0,30.48333333,-86.52527778,-600,40.49138889,-80.23277778,-500
1410803,1562404,1562404->1410803,98.5,724.0,30.48333333,-86.52527778,-600,40.66416667,-89.69333333,-600
1393007,1562404,1562404->1393007,120.0,796.0,30.48333333,-86.52527778,-600,41.97444444,-87.90666667,-600
1393006,1562404,1562404->1393006,132.0,796.0,30.48333333,-86.52527778,-600,41.97722222,-87.90805556,-600
1387102,1562404,1562404->1387102,133.0,911.0,30.48333333,-86.52527778,-600,41.30305556,-95.89416667,-600
1385103,1562404,1562404->1385103,106.7,726.0,30.48333333,-86.52527778,-600,35.39305556,-97.60083333,-600
1324402,1562404,1562404->1324402,59.0,373.0,30.48333333,-86.52527778,-600,35.0425,-89.97666667,-600
1319801,1562404,1562404->1319801,106.4,764.0,30.48333333,-86.52527778,-600,39.2975,-94.71388889,-600
1299206,1562404,1562404->1299206,64.0,443.0,30.48333333,-86.52527778,-600,34.72944444,-92.22472222,-600
1294503,1562404,1562404->1294503,77.0,532.0,30.48333333,-86.52527778,-600,38.03666667,-84.60861111,-500
1291703,1562404,1562404->1291703,96.25,675.0,30.48333333,-86.52527778,-600,39.81388889,-82.92777778,-500
1254404,1562404,1562404->1254404,68.8,478.0,30.48333333,-86.52527778,-600,35.38777778,-80.70916667,-500
1233904,1562404,1562404->1233904,94.5,637.0,30.48333333,-86.52527778,-600,39.71722222,-86.29472222,-500
1227805,1562404,1562404->1227805,110.0,796.0,30.48333333,-86.52527778,-600,37.65,-97.43305556,-600
1226603,1562404,1562404->1226603,91.35632183908046,528.0,30.48333333,-86.52527778,-600,29.98444444,-95.34138889,-600
1222305,1562404,1562404->1222305,80.25,589.0,30.48333333,-86.52527778,-600,38.36861111,-82.56027778,-500
1161802,1562404,1562404->1161802,129.22222222222223,988.0,30.48333333,-86.52527778,-600,40.6925,-74.16861111,-500
1161206,1562404,1562404->1161206,71.0,524.0,30.48333333,-86.52527778,-600,38.04083333,-87.52861111,-600
1142307,1562404,1562404->1142307,115.33333333333333,860.0,30.48333333,-86.52527778,-600,41.53388889,-93.66305556,-600
1129806,1562404,1562404->1129806,103.43949044585987,641.0,30.48333333,-86.52527778,-600,32.89722222,-97.03777778,-600
1127805,1562404,1562404->1127805,111.73684210526316,789.0,30.48333333,-86.52527778,-600,38.85138889,-77.03777778,-500
1119302,1562404,1562404->1119302,86.28125,600.0,30.48333333,-86.52527778,-600,39.04888889,-84.66777778,-500
1105703,1562404,1562404->1105703,70.55072463768116,460.0,30.48333333,-86.52527778,-600,35.21361111,-80.94916667,-500
1104205,1562404,1562404->1104205,101.0,797.0,30.48333333,-86.52527778,-600,41.40944444,-81.85472222,-500
1082106,1562404,1562404->1082106,111.4,819.0,30.48333333,-86.52527778,-600,39.17583333,-76.66888889,-500
1067602,1562404,1562404->1067602,85.25,587.0,30.48333333,-86.52527778,-600,38.54527778,-89.83527778,-600
1042302,1562404,1562404->1042302,94.66666666666667,666.0,30.48333333,-86.52527778,-600,30.19444444,-97.67,-600
1039707,1562404,1562404->1039707,44.17748917748918,250.0,30.48333333,-86.52527778,-600,33.63666667,-84.42777778,-500
1039707,1560702,1560702->1039707,46.2970297029703,208.0,30.78138889,-83.27611111,-500,33.63666667,-84.42777778,-500
1129202,1558203,1558203->1129202,44.857142857142854,259.0,40.43611111,-109.51138889,-700,39.86166667,-104.67305556,-700
1393007,1545405,1545405->1393007,42.163636363636364,222.0,39.94305556,-91.19444444,-600,41.97444444,-87.90666667,-600
1562404,1541205,1541205->1562404,59.166666666666664,395.0,35.80944444,-83.99527778,-500,30.48333333,-86.52527778,-600
1498603,1541205,1541205->1498603,77.0,586.0,35.80944444,-83.99527778,-500,27.39555556,-82.55444444,-500
1476107,1541205,1541205->1476107,72.21428571428571,511.0,35.80944444,-83.99527778,-500,28.77722222,-81.235,-500
1476106,1541205,1541205->1476106,73.95652173913044,511.0,35.80944444,-83.99527778,-500,28.77694444,-81.235,-500
1412202,1541205,1541205->1412202,52.333333333333336,382.0,35.80944444,-83.99527778,-500,40.49138889,-80.23277778,-500
1411206,1541205,1541205->1411206,77.39393939393939,550.0,35.80944444,-83.99527778,-500,27.90861111,-82.68638889,-500
1410005,1541205,1541205->1410005,85.21739130434783,554.0,35.80944444,-83.99527778,-500,39.87194444,-75.24055556,-500
1408202,1541205,1541205->1408202,84.06666666666666,624.0,35.80944444,-83.99527778,-500,26.91888889,-81.99083333,-500
1402702,1541205,1541205->1402702,84.0,670.0,35.80944444,-83.99527778,-500,26.68305556,-80.09555556,-500
1393007,1541205,1541205->1393007,81.07954545454545,475.0,35.80944444,-83.99527778,-500,41.97444444,-87.90666667,-600
1393006,1541205,1541205->1393006,86.0,475.0,35.80944444,-83.99527778,-500,41.97722222,-87.90805556,-600
1348702,1541205,1541205->1348702,122.16666666666667,792.0,35.80944444,-83.99527778,-500,44.88194444,-93.22166667,-600
1330303,1541205,1541205->1330303,101.70833333333333,724.0,35.80944444,-83.99527778,-500,25.79527778,-80.29,-500
1320402,1541205,1541205->1320402,75.5,532.0,35.80944444,-83.99527778,-500,28.42944444,-81.30888889,-500
1295304,1541205,1541205->1295304,94.96376811594203,648.0,35.80944444,-83.99527778,-500,40.77722222,-73.8725,-500
1288903,1541205,1541205->1288903,244.3,1739.0,35.80944444,-83.99527778,-500,36.08,-115.15222222,-800
1226603,1541205,1541205->1226603,119.41176470588235,771.0,35.80944444,-83.99527778,-500,29.98444444,-95.34138889,-600
1226402,1541205,1541205->1226402,65.67441860465117,420.0,35.80944444,-83.99527778,-500,38.9475,-77.46,-500
1169706,1541205,1541205->1169706,100.96666666666667,708.0,35.80944444,-83.99527778,-500,26.07166667,-80.14972222,-500
1161802,1541205,1541205->1161802,90.25,631.0,35.80944444,-83.99527778,-500,40.6925,-74.16861111,-500
1143302,1541205,1541205->1143302,73.33561643835617,443.0,35.80944444,-83.99527778,-500,42.2125,-83.35333333,-500
1129806,1541205,1541205->1129806,116.52980132450331,771.0,35.80944444,-83.99527778,-500,32.89722222,-97.03777778,-600
1129202,1541205,1541205->1129202,166.0952380952381,1162.0,35.80944444,-83.99527778,-500,39.86166667,-104.67305556,-700
1127805,1541205,1541205->1127805,68.07142857142857,437.0,35.80944444,-83.99527778,-500,38.85138889,-77.03777778,-500
1105703,1541205,1541205->1105703,38.0,177.0,35.80944444,-83.99527778,-500,35.21361111,-80.94916667,-500
1082106,1541205,1541205->1082106,72.33333333333333,465.0,35.80944444,-83.99527778,-500,39.17583333,-76.66888889,-500
1039707,1541205,1541205->1039707,34.38383838383838,152.0,35.80944444,-83.99527778,-500,33.63666667,-84.42777778,-500
1129806,1541106,1541106->1129806,27.772727272727273,102.0,32.35361111,-95.40305556,-600,32.89722222,-97.03777778,-600
1129202,1541106,1541106->1129202,109.57142857142857,732.0,32.35361111,-95.40305556,-600,39.86166667,-104.67305556,-700
1129806,1541105,1541105->1129806,31.727272727272727,102.0,32.35388889,-95.40277778,-600,32.89722222,-97.03777778,-600
1129806,1540103,1540103->1129806,38.57017543859649,181.0,33.45361111,-93.99111111,-600,32.89722222,-97.03777778,-600
1486903,1538902,1538902->1486903,35.30275229357798,175.0,42.48194444,-114.48777778,-700,40.78833333,-111.97777778,-700
1477104,1538902,1538902->1477104,100.0,536.0,42.48194444,-114.48777778,-700,37.61888889,-122.37555556,-800
1289208,1538902,1538902->1289208,107.0,626.0,42.48194444,-114.48777778,-700,33.9425,-118.40805556,-800
1129202,1538902,1538902->1129202,80.0,542.0,42.48194444,-114.48777778,-700,39.86166667,-104.67305556,-700
1476107,1538005,1538005->1476107,147.5,1126.0,44.74166667,-85.58194444,-500,28.77722222,-81.235,-500
1411206,1538005,1538005->1411206,140.0,1172.0,44.74166667,-85.58194444,-500,27.90861111,-82.68638889,-500
1408202,1538005,1538005->1408202,154.0,1245.0,44.74166667,-85.58194444,-500,26.91888889,-81.99083333,-500
1393007,1538005,1538005->1393007,47.70949720670391,224.0,44.74166667,-85.58194444,-500,41.97444444,-87.90666667,-600
1393006,1538005,1538005->1393006,49.0,224.0,44.74166667,-85.58194444,-500,41.97722222,-87.90805556,-600
1348702,1538005,1538005->1348702,64.02631578947368,376.0,44.74166667,-85.58194444,-500,44.88194444,-93.22166667,-600
1295304,1538005,1538005->1295304,97.28571428571429,655.0,44.74166667,-85.58194444,-500,40.77722222,-73.8725,-500
1226402,1538005,1538005->1226402,82.0,579.0,44.74166667,-85.58194444,-500,38.9475,-77.46,-500
1161802,1538005,1538005->1161802,105.22222222222223,644.0,44.74166667,-85.58194444,-500,40.6925,-74.16861111,-500
1143302,1538005,1538005->1143302,39.19867549668874,207.0,44.74166667,-85.58194444,-500,42.2125,-83.35333333,-500
1129806,1538005,1538005->1129806,137.92307692307693,1022.0,44.74166667,-85.58194444,-500,32.89722222,-97.03777778,-600
1129202,1538005,1538005->1129202,153.66666666666666,1032.0,44.74166667,-85.58194444,-500,39.86166667,-104.67305556,-700
1105703,1538005,1538005->1105703,103.0,702.0,44.74166667,-85.58194444,-500,35.21361111,-80.94916667,-500
1046602,1538005,1538005->1046602,236.0,1599.0,44.74166667,-85.58194444,-500,33.30777778,-111.65555556,-700
1039707,1538005,1538005->1039707,108.0,769.0,44.74166667,-85.58194444,-500,33.63666667,-84.42777778,-500
1486903,1537604,1537604->1486903,88.35922330097087,601.0,32.11611111,-110.94111111,-700,40.78833333,-111.97777778,-700
1483106,1537604,1537604->1483106,108.609375,722.0,32.11611111,-110.94111111,-700,37.36305556,-121.92861111,-800
1477104,1537604,1537604->1477104,117.37272727272727,751.0,32.11611111,-110.94111111,-700,37.61888889,-122.37555556,-800
1474703,1537604,1537604->1474703,172.59677419354838,1216.0,32.11611111,-110.94111111,-700,47.45,-122.31166667,-800
1467903,1537604,1537604->1467903,58.064516129032256,368.0,32.11611111,-110.94111111,-700,32.73361111,-117.18972222,-800
1431402,1537604,1537604->1431402,78.33333333333333,560.0,32.11611111,-110.94111111,-700,40.21916667,-111.72333333,-700
1410702,1537604,1537604->1410702,27.742857142857144,110.0,32.11611111,-110.94111111,-700,33.43416667,-112.01166667,-700
1405702,1537604,1537604->1405702,165.63888888888889,1119.0,32.11611111,-110.94111111,-700,45.58861111,-122.59694444,-800
1393007,1537604,1537604->1393007,171.46808510638297,1437.0,32.11611111,-110.94111111,-700,41.97444444,-87.90666667,-600
1379608,1537604,1537604->1379608,114.0,747.0,32.11611111,-110.94111111,-700,37.72111111,-122.22111111,-800
1348702,1537604,1537604->1348702,160.11111111111111,1298.0,32.11611111,-110.94111111,-700,44.88194444,-93.22166667,-600
1323202,1537604,1537604->1323202,170.36363636363637,1440.0,32.11611111,-110.94111111,-700,41.78583333,-87.7525,-600
1289208,1537604,1537604->1289208,72.68627450980392,451.0,32.11611111,-110.94111111,-700,33.9425,-118.40805556,-800
1288903,1537604,1537604->1288903,56.568627450980394,365.0,32.11611111,-110.94111111,-700,36.08,-115.15222222,-800
1233904,1537604,1537604->1233904,153.0,1472.0,32.11611111,-110.94111111,-700,39.71722222,-86.29472222,-500
1226603,1537604,1537604->1226603,120.10309278350516,936.0,32.11611111,-110.94111111,-700,29.98444444,-95.34138889,-600
1129806,1537604,1537604->1129806,103.13716814159292,813.0,32.11611111,-110.94111111,-700,32.89722222,-97.03777778,-600
1129202,1537604,1537604->1129202,89.16587677725119,639.0,32.11611111,-110.94111111,-700,39.86166667,-104.67305556,-700
1125904,1537604,1537604->1125904,136.0,824.0,32.11611111,-110.94111111,-700,32.84583333,-96.85083333,-600
1105703,1537604,1537604->1105703,189.83333333333334,1735.0,32.11611111,-110.94111111,-700,35.21361111,-80.94916667,-500
1066602,1537604,1537604->1066602,174.8,1299.0,32.11611111,-110.94111111,-700,48.79277778,-122.5375,-800
1039707,1537604,1537604->1039707,180.40298507462686,1541.0,32.11611111,-110.94111111,-700,33.63666667,-84.42777778,-500
1483106,1537603,1537603->1483106,112.0,721.0,32.11888889,-110.94444444,-700,37.36305556,-121.92861111,-800
1467903,1537603,1537603->1467903,62.833333333333336,367.0,32.11888889,-110.94444444,-700,32.73361111,-117.18972222,-800
1431402,1537603,1537603->1431402,77.0,560.0,32.11888889,-110.94444444,-700,40.21916667,-111.72333333,-700
1410702,1537603,1537603->1410702,26.833333333333332,110.0,32.11888889,-110.94444444,-700,33.43416667,-112.01166667,-700
1323202,1537603,1537603->1323202,163.25,1440.0,32.11888889,-110.94444444,-700,41.78583333,-87.7525,-600
1289208,1537603,1537603->1289208,76.25,451.0,32.11888889,-110.94444444,-700,33.9425,-118.40805556,-800
1288903,1537603,1537603->1288903,57.6,364.0,32.11888889,-110.94444444,-700,36.08,-115.15222222,-800
1226603,1537603,1537603->1226603,115.33333333333333,936.0,32.11888889,-110.94444444,-700,29.98444444,-95.34138889,-600
1129202,1537603,1537603->1129202,78.22222222222223,639.0,32.11888889,-110.94444444,-700,39.86166667,-104.67305556,-700
1066602,1537603,1537603->1066602,172.0,1299.0,32.11888889,-110.94444444,-700,48.79277778,-122.5375,-800
1562404,1537002,1537002->1562404,90.5,669.0,36.19833333,-95.88805556,-600,30.48333333,-86.52527778,-600
1501606,1537002,1537002->1501606,51.878787878787875,351.0,36.19833333,-95.88805556,-600,38.74861111,-90.37,-600
