ROUTE_PATH,ENTRY_LONGITUDE,ENTRY_LATITUDE,EXIT_LONGITUDE,EXIT_LATITUDE,ENTRY_TIME,EXIT_TIME,IS_IN_AREA
1020803->1039707,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1105703->1247805,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1105703->1247805,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129202->1226402,-104.67305556,39.86166667,-104.67305556,39.86166667,0.0,0.0,INSIDE
1129806->1473003,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1169706->1072102,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1169706->1072102,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1323202->1014005,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1393102->1127805,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1449202->1320402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1449202->1348702,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1473003->1143302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1530402->1501606,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1042302->1129806,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1052906->1169706,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1069302->1530402,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1104205->1105703,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1105703->1478302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1490803,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1490803,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1129806->1490803,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1143302->1323002,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1247805->1289208,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1295304->1069302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1295304->1069302,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1320402->1288903,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
1320402->1288903,0.0,0.0,0.0,0.0,0.0,0.0,OUTSIDE
