ROUTE_PATH,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,_c45,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,ORIGIN_UTC_LOCAL_TIME_VARIATION,DEST_LATITUDE,DEST_LONGITUDE,DEST_UTC_LOCAL_TIME_VARIATION,WHEELS_OFF_UTC_DATETIME,WHEELS_ON_UTC_DATETIME
1020803->1039707,2019,1,3,8,5,2019-03-08T00:00:00.000Z,OO,20304,N809CA,4240,10208,1020803,AGS,"Augusta, GA",GA,Georgia,10397,1039707,ATL,"Atlanta, GA",GA,Georgia,1437,1456,19.0,16.0,1512,1545,10.0,1545,1555,10.0,0.0,"",0.0,68.0,59.0,33.0,143.0,1,"","","","","","",33.37,-81.96444444,-500,33.63666667,-84.42777778,-500,2019-03-08T20:12:00.000Z,2019-03-08T20:45:00.000Z
1020803->1039707,2019,1,3,8,5,2019-03-08T00:00:00.000Z,9E,20363,N8976E,3326,10208,1020803,AGS,"Augusta, GA",GA,Georgia,10397,1039707,ATL,"Atlanta, GA",GA,Georgia,1156,1149,-7.0,27.0,1216,1252,9.0,1305,1301,-4.0,0.0,"",0.0,69.0,72.0,36.0,143.0,1,"","","","","","",33.37,-81.96444444,-500,33.63666667,-84.42777778,-500,2019-03-08T17:16:00.000Z,2019-03-08T17:52:00.000Z
1020803->1039707,2019,1,3,8,5,2019-03-08T00:00:00.000Z,9E,20363,N832AY,5001,10208,1020803,AGS,"Augusta, GA",GA,Georgia,10397,1039707,ATL,"Atlanta, GA",GA,Georgia,1006,1001,-5.0,17.0,1018,1050,5.0,1111,1055,-16.0,0.0,"",0.0,65.0,54.0,32.0,143.0,1,"","","","","","",33.37,-81.96444444,-500,33.63666667,-84.42777778,-500,2019-03-08T15:18:00.000Z,2019-03-08T15:50:00.000Z
1020803->1039707,2019,1,3,8,5,2019-03-08T00:00:00.000Z,9E,20363,N8980A,5019,10208,1020803,AGS,"Augusta, GA",GA,Georgia,10397,1039707,ATL,"Atlanta, GA",GA,Georgia,1547,1534,-13.0,11.0,1545,1619,7.0,1656,1626,-30.0,0.0,"",0.0,69.0,52.0,34.0,143.0,1,"","","","","","",33.37,-81.96444444,-500,33.63666667,-84.42777778,-500,2019-03-08T20:45:00.000Z,2019-03-08T21:19:00.000Z
1105703->1086803,2019,1,3,8,5,2019-03-08T00:00:00.000Z,YX,20452,N409YX,4656,11057,1105703,CLT,"Charlotte, NC",NC,North Carolina,10868,1086803,CAE,"Columbia, SC",SC,South Carolina,1128,1122,-6.0,43.0,1205,1229,5.0,1223,1234,11.0,0.0,"",0.0,55.0,72.0,24.0,88.0,1,"","","","","","",35.21361111,-80.94916667,-500,33.93888889,-81.11944444,-500,2019-03-08T17:05:00.000Z,2019-03-08T17:29:00.000Z
1105703->1086803,2019,1,3,8,5,2019-03-08T00:00:00.000Z,OH,20397,N592NN,5281,11057,1105703,CLT,"Charlotte, NC",NC,North Carolina,10868,1086803,CAE,"Columbia, SC",SC,South Carolina,1553,1551,-2.0,17.0,1608,1637,4.0,1638,1641,3.0,0.0,"",0.0,45.0,50.0,29.0,88.0,1,"","","","","","",35.21361111,-80.94916667,-500,33.93888889,-81.11944444,-500,2019-03-08T21:08:00.000Z,2019-03-08T21:37:00.000Z
1105703->1247805,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N746UW,429,11057,1105703,CLT,"Charlotte, NC",NC,North Carolina,12478,1247805,JFK,"New York, NY",NY,New York,955,951,-4.0,19.0,1010,1125,14.0,1204,1139,-25.0,0.0,"",0.0,129.0,108.0,75.0,541.0,3,"","","","","","",35.21361111,-80.94916667,-500,40.64,-73.77861111,-500,2019-03-08T15:10:00.000Z,2019-03-08T16:25:00.000Z
1105703->1247805,2019,1,3,8,5,2019-03-08T00:00:00.000Z,DL,19790,N893AT,653,11057,1105703,CLT,"Charlotte, NC",NC,North Carolina,12478,1247805,JFK,"New York, NY",NY,New York,1056,1051,-5.0,15.0,1106,1240,6.0,1300,1246,-14.0,0.0,"",0.0,124.0,115.0,94.0,541.0,3,"","","","","","",35.21361111,-80.94916667,-500,40.64,-73.77861111,-500,2019-03-08T16:06:00.000Z,2019-03-08T17:40:00.000Z
1105703->1247805,2019,1,3,8,5,2019-03-08T00:00:00.000Z,B6,20409,N231JB,218,11057,1105703,CLT,"Charlotte, NC",NC,North Carolina,12478,1247805,JFK,"New York, NY",NY,New York,956,1006,10.0,29.0,1035,1149,4.0,1158,1153,-5.0,0.0,"",0.0,122.0,107.0,74.0,541.0,3,"","","","","","",35.21361111,-80.94916667,-500,40.64,-73.77861111,-500,2019-03-08T15:35:00.000Z,2019-03-08T16:49:00.000Z
1105703->1247805,2019,1,3,8,5,2019-03-08T00:00:00.000Z,9E,20363,N146PQ,5255,11057,1105703,CLT,"Charlotte, NC",NC,North Carolina,12478,1247805,JFK,"New York, NY",NY,New York,1453,1445,-8.0,30.0,1515,1632,10.0,1659,1642,-17.0,0.0,"",0.0,126.0,117.0,77.0,541.0,3,"","","","","","",35.21361111,-80.94916667,-500,40.64,-73.77861111,-500,2019-03-08T20:15:00.000Z,2019-03-08T21:32:00.000Z
1105703->1247805,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N976NN,2731,11057,1105703,CLT,"Charlotte, NC",NC,North Carolina,12478,1247805,JFK,"New York, NY",NY,New York,1257,1301,4.0,17.0,1318,1436,8.0,1454,1444,-10.0,0.0,"",0.0,117.0,103.0,78.0,541.0,3,"","","","","","",35.21361111,-80.94916667,-500,40.64,-73.77861111,-500,2019-03-08T18:18:00.000Z,2019-03-08T19:36:00.000Z
1129202->1226402,2019,1,3,8,5,2019-03-08T00:00:00.000Z,UA,19977,N69804,939,11292,1129202,DEN,"Denver, CO",CO,Colorado,12264,1226402,IAD,"Washington, DC",VA,Virginia,815,814,-1.0,18.0,832,1313,8.0,1331,1321,-10.0,0.0,"",0.0,196.0,187.0,161.0,1452.0,6,"","","","","","",39.86166667,-104.67305556,-700,38.9475,-77.46,-500,2019-03-08T15:32:00.000Z,2019-03-08T18:13:00.000Z
1129202->1226402,2019,1,3,8,5,2019-03-08T00:00:00.000Z,UA,19977,N37474,495,11292,1129202,DEN,"Denver, CO",CO,Colorado,12264,1226402,IAD,"Washington, DC",VA,Virginia,1110,1108,-2.0,20.0,1128,1612,4.0,1625,1616,-9.0,0.0,"",0.0,195.0,188.0,164.0,1452.0,6,"","","","","","",39.86166667,-104.67305556,-700,38.9475,-77.46,-500,2019-03-08T18:28:00.000Z,2019-03-08T21:12:00.000Z
1129202->1226402,2019,1,3,8,5,2019-03-08T00:00:00.000Z,WN,19393,N8546V,729,11292,1129202,DEN,"Denver, CO",CO,Colorado,12264,1226402,IAD,"Washington, DC",VA,Virginia,1045,1056,11.0,11.0,1107,1551,4.0,1600,1555,-5.0,0.0,"",0.0,195.0,179.0,164.0,1452.0,6,"","","","","","",39.86166667,-104.67305556,-700,38.9475,-77.46,-500,2019-03-08T18:07:00.000Z,2019-03-08T20:51:00.000Z
1129202->1226402,2019,1,3,8,5,2019-03-08T00:00:00.000Z,WN,19393,N8544Z,1675,11292,1129202,DEN,"Denver, CO",CO,Colorado,12264,1226402,IAD,"Washington, DC",VA,Virginia,1325,1323,-2.0,9.0,1332,1812,5.0,1835,1817,-18.0,0.0,"",0.0,190.0,174.0,160.0,1452.0,6,"","","","","","",39.86166667,-104.67305556,-700,38.9475,-77.46,-500,2019-03-08T20:32:00.000Z,2019-03-08T23:12:00.000Z
1129806->1473003,2019,1,3,8,5,2019-03-08T00:00:00.000Z,YV,20378,N959LR,5764,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,14730,1473003,SDF,"Louisville, KY",KY,Kentucky,855,847,-8.0,24.0,911,1144,4.0,1204,1148,-16.0,0.0,"",0.0,129.0,121.0,93.0,733.0,3,"","","","","","",32.89722222,-97.03777778,-600,38.17416667,-85.73638889,-500,2019-03-08T15:11:00.000Z,2019-03-08T16:44:00.000Z
1129806->1473003,2019,1,3,8,5,2019-03-08T00:00:00.000Z,AA,19805,N9677W,2274,11298,1129806,DFW,"Dallas/Fort Worth, TX",TX,Texas,14730,1473003,SDF,"Louisville, KY",KY,Kentucky,1235,1230,-5.0,10.0,1240,1513,6.0,1539,1519,-20.0,0.0,"",0.0,124.0,109.0,93.0,733.0,3,"","","","","","",32.89722222,-97.03777778,-600,38.17416667,-85.73638889,-500,2019-03-08T18:40:00.000Z,2019-03-08T20:13:00.000Z
1169706->1072102,2019,1,3,8,5,2019-03-08T00:00:00.000Z,DL,19790,N352NW,1121,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,10721,1072102,BOS,"Boston, MA",MA,Massachusetts,1324,1347,23.0,12.0,1359,1643,5.0,1645,1648,3.0,0.0,"",0.0,201.0,181.0,164.0,1237.0,5,"","","","","","",26.07166667,-80.14972222,-500,42.36305556,-71.00638889,-500,2019-03-08T18:59:00.000Z,2019-03-08T21:43:00.000Z
1169706->1072102,2019,1,3,8,5,2019-03-08T00:00:00.000Z,B6,20409,N784JB,470,11697,1169706,FLL,"Fort Lauderdale, FL",FL,Florida,10721,1072102,BOS,"Boston, MA",MA,Massachusetts,946,947,1.0,23.0,1010,1301,10.0,1300,1311,11.0,0.0,"",0.0,194.0,204.0,171.0,1237.0,5,"","","","","","",26.07166667,-80.14972222,-500,42.36305556,-71.00638889,-500,2019-03-08T15:10:00.000Z,2019-03-08T18:01:00.000Z
