TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
N869AS,52876.0,24.882823529411766,3473.0,1.6343529411764706,20698.0,9.740235294117648,8221.0,3.868705882352941,0.0,0.0,20484.0,9.639529411764705
N910SW,50929.0,24.532273603082853,1193.0,0.5746628131021194,19705.0,9.491811175337187,10142.0,4.8853564547206165,42.0,0.02023121387283237,19847.0,9.560211946050096
N317JB,49624.0,26.852813852813853,759.0,0.4107142857142857,17325.0,9.375,9830.0,5.31926406926407,12.0,0.006493506493506494,21698.0,11.741341991341992
N954SW,47751.0,22.53468617272298,2010.0,0.9485606418121756,17451.0,8.235488437942426,9496.0,4.48135913166588,0.0,0.0,18794.0,8.869277961302501
N466SW,47716.0,23.98994469582705,3422.0,1.7204625439919559,15462.0,7.773755656108597,9397.0,4.724484665661136,0.0,0.0,19435.0,9.77124183006536
N880AS,47432.0,22.88084901109503,1399.0,0.6748673420164013,16566.0,7.991316931982634,9931.0,4.79064158224795,4.0,0.001929570670525808,19532.0,9.42209358417752
N298JB,47046.0,24.10143442622951,1047.0,0.5363729508196722,14086.0,7.216188524590164,10697.0,5.480020491803279,6.0,0.0030737704918032786,21210.0,10.86577868852459
N908SW,46711.0,22.446419990389234,3128.0,1.5031234983181163,19015.0,9.137433925997117,7618.0,3.660740028832292,0.0,0.0,16950.0,8.145122537241711
N947SW,46511.0,21.170232134729176,2670.0,1.2152935821574875,14305.0,6.511151570323168,8810.0,4.0100136549840695,0.0,0.0,20726.0,9.433773327264452
N693BR,46458.0,22.84070796460177,4098.0,2.0147492625368733,16390.0,8.058013765978368,8778.0,4.315634218289086,0.0,0.0,17192.0,8.452310717797443
N918SW,46213.0,25.81731843575419,2228.0,1.2446927374301675,16255.0,9.081005586592179,8939.0,4.9938547486033515,0.0,0.0,18791.0,10.497765363128492
N932SW,46109.0,23.100701402805612,2087.0,1.0455911823647295,16679.0,8.3562124248497,8835.0,4.426352705410822,0.0,0.0,18508.0,9.27254509018036
N908EV,46097.0,26.816172193135543,771.0,0.44851657940663175,18213.0,10.595113438045376,9681.0,5.631762652705061,176.0,0.10238510762070971,17256.0,10.038394415357766
N782SK,45914.0,27.826666666666668,2116.0,1.2824242424242425,18829.0,11.411515151515152,7876.0,4.773333333333333,0.0,0.0,17093.0,10.35939393939394
N351JB,45756.0,25.32152739346984,679.0,0.37576092971776426,15229.0,8.427780852241284,10158.0,5.6214720531267295,16.0,0.008854454897620365,19674.0,10.887659103486442
N791SK,45607.0,25.781232334652344,3843.0,2.1724137931034484,15399.0,8.704918032786885,8834.0,4.993781797625777,0.0,0.0,17531.0,9.910118711136235
N937SW,45430.0,21.862367661212705,3782.0,1.8200192492781522,17165.0,8.260346487006737,6818.0,3.2810394610202116,0.0,0.0,17665.0,8.500962463907603
N789SK,45372.0,27.071599045346062,2113.0,1.2607398568019093,16778.0,10.010739856801909,9162.0,5.466587112171838,0.0,0.0,17319.0,10.333532219570406
N958SW,45029.0,22.36910084451068,1728.0,0.8584202682563339,17825.0,8.854942871336315,7383.0,3.6676602086438153,0.0,0.0,18093.0,8.988077496274217
N937EV,44932.0,20.91806331471136,597.0,0.2779329608938548,16574.0,7.716014897579144,9485.0,4.415735567970205,0.0,0.0,18276.0,8.508379888268156
N783SK,44917.0,25.85895221646517,2452.0,1.411629245826137,15072.0,8.677029360967184,8581.0,4.940126655152562,0.0,0.0,18812.0,10.830166954519287
N946SW,44847.0,22.11390532544379,906.0,0.4467455621301775,19925.0,9.824950690335307,8138.0,4.012820512820513,18.0,0.008875739644970414,15860.0,7.82051282051282
N464SW,44648.0,22.223992035838727,2345.0,1.1672473867595818,16882.0,8.403185664509706,9067.0,4.513190642110502,0.0,0.0,16354.0,8.140368342458935
N198JB,44451.0,25.213272830402722,1174.0,0.6659103800340329,15910.0,9.024390243902438,8729.0,4.951219512195122,72.0,0.04083947816222348,18566.0,10.530913216108905
N925EV,44337.0,23.10422094841063,2976.0,1.5508077123501824,16307.0,8.49765502866076,7094.0,3.696717040125065,0.0,0.0,17960.0,9.359041167274622
N862AS,44244.0,28.109275730622617,1675.0,1.0641677255400255,17753.0,11.278907242693775,8596.0,5.461245235069885,64.0,0.04066073697585769,16156.0,10.264294790343074
N249JB,44149.0,22.174284279256653,1548.0,0.7774987443495731,16109.0,8.090909090909092,7227.0,3.6298342541436464,15.0,0.007533902561526871,19250.0,9.668508287292818
N927SW,43766.0,28.236129032258063,1491.0,0.9619354838709677,16234.0,10.473548387096773,8805.0,5.680645161290323,164.0,0.10580645161290322,17072.0,11.014193548387096
N970SW,43474.0,23.49945945945946,662.0,0.35783783783783785,14842.0,8.022702702702702,7974.0,4.31027027027027,32.0,0.017297297297297298,19964.0,10.791351351351352
N904EV,43424.0,20.94741919922817,920.0,0.44380125422093586,14294.0,6.895320791123975,10102.0,4.873130728412928,0.0,0.0,18108.0,8.735166425470332
N913SW,43385.0,20.542140151515152,1150.0,0.5445075757575758,18085.0,8.562973484848484,7575.0,3.586647727272727,99.0,0.046875,16476.0,7.801136363636363
N306JB,43361.0,22.918076109936575,989.0,0.5227272727272727,16162.0,8.542283298097251,9182.0,4.853065539112051,26.0,0.013742071881606765,17002.0,8.986257928118393
N203JB,43338.0,23.996677740863788,660.0,0.3654485049833887,14557.0,8.060354374307863,8417.0,4.660575858250277,0.0,0.0,19704.0,10.91029900332226
