TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
N758EV,9868.0,53.053763440860216,2.0,0.010752688172043012,5103.0,27.43548387096774,571.0,3.0698924731182795,0.0,0.0,4192.0,22.537634408602152
N760SK,9673.0,61.221518987341774,1552.0,9.822784810126583,4448.0,28.151898734177216,1636.0,10.354430379746836,0.0,0.0,2037.0,12.89240506329114
N679SA,8584.0,45.659574468085104,248.0,1.3191489361702127,2180.0,11.595744680851064,1897.0,10.090425531914894,0.0,0.0,4259.0,22.654255319148938
N707SK,8184.0,54.19867549668874,110.0,0.7284768211920529,4426.0,29.311258278145694,603.0,3.993377483443709,0.0,0.0,3045.0,20.165562913907284
N693BR,8066.0,52.038709677419355,145.0,0.9354838709677419,3527.0,22.75483870967742,1028.0,6.632258064516129,0.0,0.0,3366.0,21.716129032258063
N908EV,7992.0,50.904458598726116,301.0,1.9171974522292994,1881.0,11.980891719745223,2367.0,15.07643312101911,0.0,0.0,3443.0,21.929936305732483
N904EV,7663.0,40.12041884816754,179.0,0.93717277486911,1581.0,8.277486910994764,1526.0,7.989528795811518,0.0,0.0,4377.0,22.916230366492147
N917SW,7506.0,48.42580645161291,20.0,0.12903225806451613,4349.0,28.058064516129033,968.0,6.245161290322581,0.0,0.0,2169.0,13.993548387096775
N594SW,7414.0,54.51470588235294,26.0,0.19117647058823528,4245.0,31.21323529411765,474.0,3.485294117647059,0.0,0.0,2669.0,19.625
N960SW,7299.0,43.18934911242604,10.0,0.05917159763313609,4462.0,26.402366863905325,864.0,5.112426035502959,0.0,0.0,1963.0,11.615384615384615
N818MD,7274.0,44.901234567901234,466.0,2.876543209876543,2263.0,13.969135802469136,1667.0,10.290123456790123,0.0,0.0,2878.0,17.765432098765434
N869AS,6754.0,38.15819209039548,1184.0,6.6892655367231635,2812.0,15.887005649717514,1578.0,8.915254237288135,0.0,0.0,1180.0,6.666666666666667
N784SK,6441.0,47.36029411764706,1082.0,7.955882352941177,945.0,6.948529411764706,1550.0,11.397058823529411,0.0,0.0,2864.0,21.058823529411764
N611SK,6432.0,40.2,2152.0,13.45,2426.0,15.1625,536.0,3.35,0.0,0.0,1318.0,8.2375
N724SK,6408.0,36.61714285714286,218.0,1.2457142857142858,3063.0,17.502857142857142,442.0,2.525714285714286,0.0,0.0,2685.0,15.342857142857143
N902EV,6405.0,45.105633802816904,193.0,1.3591549295774648,2677.0,18.85211267605634,610.0,4.295774647887324,0.0,0.0,2925.0,20.598591549295776
N954SW,6364.0,32.635897435897434,182.0,0.9333333333333333,1548.0,7.938461538461539,2056.0,10.543589743589743,0.0,0.0,2578.0,13.22051282051282
N929EV,6362.0,37.86904761904762,273.0,1.625,846.0,5.035714285714286,1428.0,8.5,0.0,0.0,3815.0,22.708333333333332
N239JB,6260.0,37.93939393939394,501.0,3.036363636363636,1789.0,10.842424242424242,835.0,5.0606060606060606,39.0,0.23636363636363636,3096.0,18.763636363636362
N805SK,6230.0,49.84,3929.0,31.432,832.0,6.656,250.0,2.0,0.0,0.0,1219.0,9.752
N198JB,6215.0,38.364197530864196,0.0,0.0,2032.0,12.54320987654321,721.0,4.450617283950617,72.0,0.4444444444444444,3390.0,20.925925925925927
N783CA,6204.0,95.44615384615385,1382.0,21.26153846153846,2329.0,35.83076923076923,884.0,13.6,0.0,0.0,1609.0,24.753846153846155
N824MD,6202.0,43.67605633802817,228.0,1.6056338028169015,2788.0,19.633802816901408,1090.0,7.676056338028169,0.0,0.0,2096.0,14.76056338028169
N134SY,6115.0,47.7734375,216.0,1.6875,1435.0,11.2109375,1074.0,8.390625,0.0,0.0,3390.0,26.484375
N249JB,6104.0,37.4478527607362,32.0,0.19631901840490798,2759.0,16.926380368098158,1193.0,7.319018404907975,0.0,0.0,2120.0,13.006134969325153
N642RW,6093.0,40.62,64.0,0.4266666666666667,930.0,6.2,1660.0,11.066666666666666,0.0,0.0,3439.0,22.926666666666666
N26545,6080.0,42.51748251748252,1109.0,7.755244755244755,2264.0,15.832167832167832,1388.0,9.706293706293707,0.0,0.0,1319.0,9.223776223776223
N466SW,6071.0,38.6687898089172,59.0,0.37579617834394907,1427.0,9.089171974522293,1904.0,12.127388535031848,0.0,0.0,2681.0,17.076433121019107
N709SK,6018.0,32.70652173913044,117.0,0.6358695652173914,2788.0,15.152173913043478,685.0,3.722826086956522,0.0,0.0,2428.0,13.195652173913043
N247JB,5974.0,39.562913907284766,22.0,0.1456953642384106,2416.0,16.0,880.0,5.827814569536423,0.0,0.0,2656.0,17.589403973509935
N183JB,5939.0,48.28455284552845,447.0,3.6341463414634148,2089.0,16.983739837398375,848.0,6.894308943089431,0.0,0.0,2555.0,20.772357723577237
N945AT,5929.0,38.006410256410255,939.0,6.019230769230769,1928.0,12.35897435897436,1402.0,8.987179487179487,0.0,0.0,1660.0,10.64102564102564
N980EV,5927.0,43.903703703703705,1878.0,13.911111111111111,712.0,5.274074074074074,481.0,3.562962962962963,0.0,0.0,2856.0,21.155555555555555
N923SW,5900.0,32.06521739130435,997.0,5.418478260869565,902.0,4.9021739130434785,1887.0,10.255434782608695,0.0,0.0,2114.0,11.48913043478261
N776SK,5876.0,35.18562874251497,0.0,0.0,2109.0,12.62874251497006,444.0,2.658682634730539,15.0,0.08982035928143713,3308.0,19.808383233532933
N279SY,5830.0,44.50381679389313,1414.0,10.793893129770993,398.0,3.0381679389312977,1093.0,8.34351145038168,0.0,0.0,2925.0,22.328244274809162
