DEST_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
Texas,1.0584871E7,13.175701395259678,667771.0,0.8312195109807148,3151014.0,3.922279218734246,2452343.0,3.05259639789236,13178.0,0.016403543603576466,4300565.0,5.35320272404878
California,9897793.0,12.146513480113933,356186.0,0.4371093687681548,3069352.0,3.766690760578107,2622091.0,3.2178146863230443,18538.0,0.02274972480171611,3831626.0,4.702148939642911
Florida,7600049.0,12.981595291127478,346578.0,0.5919876743963597,2552090.0,4.359208674382695,1551656.0,2.6503737308864324,15431.0,0.0263575928178079,3134294.0,5.353667618644184
Illinois,7338406.0,16.56446534137208,412593.0,0.9313170256037524,1839832.0,4.152922773412547,2424388.0,5.472399728229587,5751.0,0.01298132594165965,2655842.0,5.994844488184533
New York,6858565.0,17.612211462658664,314250.0,0.8069672667883858,1755400.0,4.507717868322458,2493780.0,6.403814894420178,7676.0,0.01971131500355656,2287459.0,5.874000118124087
Georgia,4179370.0,9.908768685467715,274247.0,0.6502056735066444,1419099.0,3.3645079839254595,864758.0,2.0502341240205317,4840.0,0.011475040601254193,1616426.0,3.8323458634138245
North Carolina,3960043.0,11.610101264783662,196798.0,0.5769747219176395,1233771.0,3.6171845223785204,676867.0,1.9844467377728785,4188.0,0.012278428314266784,1848419.0,5.419216854400356
Colorado,3908550.0,13.837093627973335,222766.0,0.7886387532791209,1202365.0,4.25662639086059,1014835.0,3.5927305297218455,4113.0,0.014560889867560689,1464471.0,5.184537064244218
Virginia,3619862.0,13.355798002457265,191604.0,0.7069397453446629,1095798.0,4.043042729114167,708680.0,2.6147369508510034,3693.0,0.013625647061427944,1620087.0,5.977452930086004
New Jersey,3485767.0,24.50451318101933,107216.0,0.7537152899824253,596091.0,4.190446397188049,1854844.0,13.039325131810193,1783.0,0.01253427065026362,925833.0,6.5084920913884
Massachusetts,2839668.0,18.484533666614592,112710.0,0.7336744258709577,706145.0,4.5965799614643545,933335.0,6.07545045045045,1850.0,0.012042389210019268,1085628.0,7.066786439618809
Michigan,2517361.0,12.375493449352309,256802.0,1.2624536046997517,829471.0,4.077727797851683,394491.0,1.939340756581373,3962.0,0.019477423002236805,1032635.0,5.076493867217265
Pennsylvania,2452710.0,13.00827366746221,119729.0,0.6349986740917528,775591.0,4.113450013259082,541964.0,2.8743781490320868,3094.0,0.016409440466719702,1012332.0,5.3690373906125695
Arizona,2294529.0,11.191677925675906,89055.0,0.4343701376932119,842971.0,4.111632466918023,326497.0,1.5925051580082041,4453.0,0.021719726271942873,1031553.0,5.0314504367845245
Minnesota,2023231.0,11.860822717653196,250832.0,1.4704568504112416,621578.0,3.643887654545348,386833.0,2.267737907504353,2443.0,0.01432164191791583,761545.0,4.464418663274339
Nevada,1963092.0,10.626184766781602,71519.0,0.3871311728311528,578903.0,3.1335924348141453,442944.0,2.3976485999317965,4507.0,0.02439631700597052,865219.0,4.683416242198537
Washington,1679575.0,10.410223194639858,64659.0,0.40076484916852095,513596.0,3.1833344696570576,446584.0,2.7679854219996405,2981.0,0.018476623754950756,651755.0,4.039661830059688
Tennessee,1616322.0,11.67997745404093,93506.0,0.6756995028326974,548597.0,3.964309457740779,252029.0,1.8212293328708522,1930.0,0.013946699040351486,720260.0,5.2047924615562495
Ohio,1609462.0,13.324243327372674,96018.0,0.7949036360023842,524597.0,4.34297801178886,249318.0,2.0640274190343733,1222.0,0.010116564010861646,738307.0,6.112217696536194
Missouri,1464646.0,10.695687099271202,81229.0,0.5931808555696738,506065.0,3.6955775606478842,231818.0,1.6928683053644715,2082.0,0.0152039609166192,643452.0,4.698856416772554
Utah,1178473.0,9.763572795585786,91434.0,0.757524792669489,439936.0,3.6448413849098187,166089.0,1.37603665255466,2268.0,0.018790233718030507,478746.0,3.9663797317337885
Kentucky,1109724.0,13.349260194875496,60219.0,0.7243955250811981,345923.0,4.161229399735355,172245.0,2.0719956694334174,1394.0,0.016768916155419224,529943.0,6.374870684470107
Louisiana,1001347.0,11.59342147918307,67217.0,0.77822674014727,342551.0,3.9659959246051963,182565.0,2.113705830593248,972.0,0.01125364701523642,408042.0,4.7242393368221185
Maryland,941612.0,8.981247973140535,40933.0,0.3904255927967799,298099.0,2.8433166097556324,201310.0,1.9201274298468172,3173.0,0.030264588619064878,398097.0,3.797113752122241
