ORIGIN_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Chicago, IL",6811351.0,16.088450028225967,436199.0,1.03030453339758,2049290.0,4.840434703532852,1575730.0,3.7218832744012906,3304.0,0.007804066901450035,2746828.0,6.488023449992796
"New York, NY",5078933.0,16.997198888926075,233860.0,0.7826377965931528,1346114.0,4.504916167464275,1412464.0,4.7269636223687295,5644.0,0.01888825675178207,2080851.0,6.963793045748134
"Dallas/Fort Worth, TX",4419086.0,14.520036537602188,323553.0,1.0631160791735668,1459904.0,4.79688773230292,807090.0,2.6519004810346187,1761.0,0.005786215598138948,1826778.0,6.0023460294929425
"Atlanta, GA",3693902.0,9.351437562182127,254586.0,0.6445068340215033,1360297.0,3.4437114091071344,885994.0,2.2429716791262986,3666.0,0.009280801196934753,1189359.0,3.0109668387302566
"Denver, CO",3654332.0,14.499821446993565,217401.0,0.8626133811590868,1117132.0,4.432606159681938,799294.0,3.1714743716918097,2150.0,0.008530865863045876,1518355.0,6.024596668597685
"Houston, TX",3326403.0,13.85406679633324,269936.0,1.1242508423468263,1174776.0,4.892800173258976,671762.0,2.7978076075684184,4207.0,0.0175216469598464,1205722.0,5.021686526199173
"Washington, DC",3028740.0,14.518601607777155,200334.0,0.9603232811309087,824189.0,3.950841518424244,731444.0,3.50625805925862,2290.0,0.010977369362114174,1270483.0,6.090201379601267
"Charlotte, NC",2912683.0,12.368290756530897,183164.0,0.7777796650473894,836627.0,3.5526166049529504,578506.0,2.4565427862893636,8979.0,0.0381280361449876,1305407.0,5.543223664096206
"Newark, NJ",2855069.0,20.98065857834672,145215.0,1.0671217877587613,699046.0,5.136984590060332,670106.0,4.924317134647747,2311.0,0.016982532462283494,1338391.0,9.835252533417597
"San Francisco, CA",2516050.0,14.720801787991903,37460.0,0.21916942627458783,780907.0,4.5688985361401375,499985.0,2.9252916603283445,2951.0,0.0172655893469383,1194747.0,6.990176575901894
