ROUTE_BETWEEN_CITIES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Chicago, IL -> New York, NY",485675.0,24.435248540953914,25850.0,1.3005634936606962,87243.0,4.389364057154357,199699.0,10.047242906017308,38.0,0.001911853491648219,172845.0,8.696166230629906
"New York, NY -> Chicago, IL",457141.0,23.007750767527305,25703.0,1.2936232321707182,79182.0,3.9852030801751472,172440.0,8.678846444209572,32.0,0.0016105490965826162,179784.0,9.048467461875283
"New York, NY -> Boston, MA",334022.0,21.132607870428952,13506.0,0.8544856383651778,82248.0,5.2035935720612425,93540.0,5.918005820574465,198.0,0.012526888523345565,144530.0,9.143995950904719
"Boston, MA -> New York, NY",307649.0,19.53451012762715,12986.0,0.8245602895421932,72788.0,4.621753762143628,110124.0,6.992443964696172,0.0,0.0,111751.0,7.095752111245158
"Los Angeles, CA -> San Francisco, CA",235788.0,16.116746411483252,599.0,0.04094326725905673,38409.0,2.6253588516746413,116969.0,7.995146958304853,156.0,0.010663021189336978,79655.0,5.444634313055365
"Washington, DC -> New York, NY",212722.0,18.537864923747275,8634.0,0.7524183006535947,33337.0,2.9051851851851853,105964.0,9.234335511982572,209.0,0.01821350762527233,64578.0,5.6277124183006535
"Orlando, FL -> Newark, NJ",210954.0,30.533217542336082,10677.0,1.5453755970473295,45158.0,6.5361123172673325,102122.0,14.781010276451006,187.0,0.027066145607179043,52810.0,7.643653205963236
"Atlanta, GA -> New York, NY",204494.0,15.720633456334564,7458.0,0.573339483394834,46697.0,3.589867773677737,103636.0,7.9670971709717096,608.0,0.046740467404674045,46095.0,3.543588560885609
"New York, NY -> Atlanta, GA",200185.0,15.39174227279717,7320.0,0.5628171613101646,56931.0,4.377287405812702,54051.0,4.155851145625096,191.0,0.014685529755497462,81692.0,6.28110103029371
"San Francisco, CA -> Los Angeles, CA",199550.0,13.654714657178049,982.0,0.0671958396058574,43823.0,2.9986998768304365,42899.0,2.9354728342685097,345.0,0.023607499657862324,111501.0,7.6297386068153825
