TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,MIN_OF_ALL_DELAYS,MAX_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,MIN_OF_WEATHER_DELAY,MAX_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,MIN_OF_CARRIER_DELAY,MAX_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,MIN_OF_NAS_DELAY,MAX_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,MIN_OF_SECURITY_DELAY,MAX_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY,MIN_OF_LATE_AIRCRAFT_DELAY,MAX_OF_LATE_AIRCRAFT_DELAY
N869AS,52876.0,24.882823529411766,0.0,1144.0,3473.0,1.6343529411764706,0.0,857.0,20698.0,9.740235294117648,0.0,1144.0,8221.0,3.868705882352941,0.0,407.0,0.0,0.0,0.0,0.0,20484.0,9.639529411764705,0.0,619.0
N910SW,50929.0,24.532273603082853,0.0,1271.0,1193.0,0.5746628131021194,0.0,130.0,19705.0,9.491811175337187,0.0,992.0,10142.0,4.8853564547206165,0.0,1218.0,42.0,0.02023121387283237,0.0,42.0,19847.0,9.560211946050096,0.0,983.0
N317JB,49624.0,26.852813852813853,0.0,1022.0,759.0,0.4107142857142857,0.0,208.0,17325.0,9.375,0.0,903.0,9830.0,5.31926406926407,0.0,357.0,12.0,0.006493506493506494,0.0,6.0,21698.0,11.741341991341992,0.0,422.0
N954SW,47751.0,22.53468617272298,0.0,1299.0,2010.0,0.9485606418121756,0.0,733.0,17451.0,8.235488437942426,0.0,1267.0,9496.0,4.48135913166588,0.0,588.0,0.0,0.0,0.0,0.0,18794.0,8.869277961302501,0.0,265.0
N466SW,47716.0,23.98994469582705,0.0,1391.0,3422.0,1.7204625439919559,0.0,1236.0,15462.0,7.773755656108597,0.0,1390.0,9397.0,4.724484665661136,0.0,1322.0,0.0,0.0,0.0,0.0,19435.0,9.77124183006536,0.0,366.0
N880AS,47432.0,22.88084901109503,0.0,959.0,1399.0,0.6748673420164013,0.0,328.0,16566.0,7.991316931982634,0.0,944.0,9931.0,4.79064158224795,0.0,291.0,4.0,0.001929570670525808,0.0,4.0,19532.0,9.42209358417752,0.0,360.0
N298JB,47046.0,24.10143442622951,0.0,600.0,1047.0,0.5363729508196722,0.0,342.0,14086.0,7.216188524590164,0.0,410.0,10697.0,5.480020491803279,0.0,407.0,6.0,0.0030737704918032786,0.0,5.0,21210.0,10.86577868852459,0.0,321.0
N908SW,46711.0,22.446419990389234,0.0,1103.0,3128.0,1.5031234983181163,0.0,947.0,19015.0,9.137433925997117,0.0,1077.0,7618.0,3.660740028832292,0.0,273.0,0.0,0.0,0.0,0.0,16950.0,8.145122537241711,0.0,552.0
N947SW,46511.0,21.170232134729176,0.0,1002.0,2670.0,1.2152935821574875,0.0,952.0,14305.0,6.511151570323168,0.0,841.0,8810.0,4.0100136549840695,0.0,550.0,0.0,0.0,0.0,0.0,20726.0,9.433773327264452,0.0,397.0
N693BR,46458.0,22.84070796460177,0.0,1113.0,4098.0,2.0147492625368733,0.0,1106.0,16390.0,8.058013765978368,0.0,1066.0,8778.0,4.315634218289086,0.0,504.0,0.0,0.0,0.0,0.0,17192.0,8.452310717797443,0.0,631.0
