DEST,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
ORD,624928.0,23.84129406378758,50857.0,1.940218220662292,122214.0,4.662520982755989,264862.0,10.10460857622463,136.0,0.0051884632992522505,186859.0,7.128757820845414
LGA,375578.0,27.055035297507565,17993.0,1.296138884886904,51444.0,3.7058060798155887,202205.0,14.565984728425299,133.0,0.009580752053018298,103803.0,7.477524852326754
SFO,340696.0,24.864691285943657,10785.0,0.7871113706028317,52614.0,3.83987739016202,195786.0,14.28886293971683,138.0,0.01007152240548825,81373.0,5.9387680630564885
EWR,287415.0,27.279328018223236,6208.0,0.5892179195140471,45210.0,4.291002277904328,175389.0,16.646640091116172,23.0,0.0021829916476841307,60585.0,5.750284738041002
DFW,267625.0,11.596542161365804,12829.0,0.5558973914550654,95120.0,4.12167432186498,54022.0,2.3408440939422825,354.0,0.015339284166738885,105300.0,4.5627870699367366
BOS,261305.0,22.863330125120306,15694.0,1.3731735059935253,55949.0,4.895353924227842,99284.0,8.687024236591128,157.0,0.013736984863067635,90221.0,7.894041473444746
ATL,248947.0,7.991621456775063,24253.0,0.778562485955507,86263.0,2.7691887900869956,55544.0,1.7830567237006838,225.0,0.007222882090462585,82662.0,2.6535905749414144
LAX,201331.0,11.199365856372031,10369.0,0.5767925682816932,58632.0,3.2615008065861937,51170.0,2.8464148634366135,423.0,0.023530066195694498,80737.0,4.491127551871836
DEN,196732.0,10.63531192561358,7325.0,0.3959887555411396,63044.0,3.4081522326738027,42296.0,2.286517461347173,106.0,0.005730349226943454,83961.0,4.538923126824521
DTW,173474.0,14.265953947368422,25672.0,2.1111842105263157,50177.0,4.12639802631579,28102.0,2.311019736842105,43.0,0.003536184210526316,69480.0,5.713815789473684
CLT,164698.0,8.620675215912065,7111.0,0.372206228735933,63406.0,3.318817063595917,25839.0,1.3524731745616332,79.0,0.004135043182412981,68263.0,3.5730437058361684
JFK,163297.0,15.577315653915864,5583.0,0.5325765525135935,48279.0,4.605456453305352,40401.0,3.8539540207955736,780.0,0.07440618143661165,68254.0,6.5109224458647335
DCA,156066.0,13.169015272972745,8817.0,0.7439878491266559,41980.0,3.542317104041853,34594.0,2.9190785587714116,263.0,0.022192220065817232,70412.0,5.941439540967007
MSP,148535.0,12.190988181221273,22332.0,1.8328956007879187,54320.0,4.458305975049245,19688.0,1.6158896913985554,11.0,9.028233749179251E-4,52184.0,4.282994090610637
IAH,132775.0,9.102906897024544,6915.0,0.47408473879062113,43686.0,2.9950637597696423,31788.0,2.179350061703003,41.0,0.002810914575620458,50345.0,3.4515974221856576
MCO,128408.0,10.663344959309084,4690.0,0.3894701876764657,41378.0,3.43614017605049,28311.0,2.3510214250124566,103.0,0.008553396445773128,53926.0,4.4781597741239
PHX,124476.0,8.431048496342454,7559.0,0.5119886209699268,45198.0,3.0613654836087782,18339.0,1.2421430506637767,319.0,0.021606610674613926,53061.0,3.593944730425359
FLL,117398.0,13.500229990800367,2717.0,0.312442502299908,36606.0,4.209521619135234,31145.0,3.5815317387304506,163.0,0.0187442502299908,46767.0,5.377989880404784
LAS,114924.0,8.693849761706634,3124.0,0.2363264997352296,33651.0,2.5456539829033966,31839.0,2.408578561161964,163.0,0.012330736061729328,46147.0,3.490959981844315
SLC,99321.0,10.611217948717949,11277.0,1.2048076923076922,32267.0,3.44732905982906,15338.0,1.6386752136752136,80.0,0.008547008547008548,40359.0,4.311858974358974
MIA,85733.0,10.860526982518369,5052.0,0.6399797314416013,31113.0,3.941347859133519,19613.0,2.4845452242209274,879.0,0.11135039270331898,29076.0,3.683303775019002
SEA,83876.0,8.201427593624718,4239.0,0.4144910530947492,28937.0,2.829471008115772,19165.0,1.8739610834066687,282.0,0.02757406864183045,31253.0,3.0559303803656985
PHL,80854.0,8.899724821133736,4386.0,0.48277380297193173,31071.0,3.4200330214639516,13266.0,1.46020913593836,191.0,0.021023665382498623,31940.0,3.515685195376995
TPA,61990.0,9.369709794437727,4020.0,0.6076178960096735,21259.0,3.213270858524788,14117.0,2.1337666263603388,42.0,0.0063482466747279325,22552.0,3.4087061668681984
BNA,61174.0,9.858823529411765,4127.0,0.6651087832393231,19347.0,3.117969379532635,10156.0,1.6367445608380338,31.0,0.004995970991136181,27513.0,4.4340048348106365
IAD,60177.0,11.5392138063279,3080.0,0.5906040268456376,20496.0,3.930201342281879,10141.0,1.9445829338446787,0.0,0.0,26460.0,5.073825503355705
SAN,56792.0,7.581364303831264,2316.0,0.3091710052062475,18170.0,2.4255773594980643,13661.0,1.8236550527299427,105.0,0.014016820184221065,22540.0,3.0089440662127886
RDU,56227.0,11.797524129248846,1640.0,0.34410407049937053,16779.0,3.520562316407889,10024.0,2.103231221149811,49.0,0.010281158203944608,27735.0,5.81934536298783
CLE,56036.0,14.342462247248529,5362.0,1.372408497568467,16915.0,4.329408753519324,9485.0,2.4276938827745074,0.0,0.0,24274.0,6.21295111338623
BWI,52759.0,6.791838311019568,3537.0,0.4553295571575695,19183.0,2.469490216271885,10021.0,1.290036045314109,104.0,0.013388259526261586,19914.0,2.5635942327497427
CVG,52227.0,14.069773706896552,5236.0,1.4105603448275863,11042.0,2.974676724137931,8700.0,2.34375,24.0,0.00646551724137931,27225.0,7.334321120689655
STL,50422.0,9.429960725640546,2863.0,0.5354404338881615,18484.0,3.4568917149803626,9047.0,1.6919768094258463,16.0,0.0029923321488685246,20012.0,3.742659435197307
PIT,49120.0,12.379032258064516,3865.0,0.9740423387096774,14188.0,3.5756048387096775,7308.0,1.841733870967742,60.0,0.015120967741935484,23699.0,5.972530241935484
IND,45481.0,11.761313679855185,3214.0,0.8311352469614688,16130.0,4.171192138608741,6652.0,1.7201965347814843,34.0,0.008792345487457979,19451.0,5.029997414016033
RSW,44936.0,11.760272180057576,3106.0,0.8128762104161215,14839.0,3.8835383407484954,11310.0,2.959958126144988,0.0,0.0,15681.0,4.103899502747971
MCI,44831.0,10.047288211564322,6869.0,1.539444195428059,14067.0,3.152622142536979,7464.0,1.6727924697445091,23.0,0.005154639175257732,16408.0,3.677274764679516
CMH,44601.0,12.07063599458728,2194.0,0.5937753721244926,13821.0,3.740460081190798,6951.0,1.881190798376184,1.0,2.7063599458728013E-4,21634.0,5.8549391069012175
MDW,43427.0,6.772769806612601,1802.0,0.28103555832813476,12204.0,1.9033063006862134,11336.0,1.7679351216469121,43.0,0.006706175920149719,18042.0,2.8137866500311914
AUS,39676.0,8.013734599070895,1808.0,0.36517875176731973,15022.0,3.0341345182791355,7314.0,1.4772773177135932,12.0,0.002423752777216724,15520.0,3.13472025853363
PBI,37665.0,15.342158859470468,1863.0,0.7588594704684317,13410.0,5.462321792260693,7788.0,3.1723014256619146,48.0,0.019551934826883912,14556.0,5.929124236252546
MSY,36902.0,8.030903155603918,3171.0,0.6900979325353646,10407.0,2.264853101196953,7226.0,1.5725788900979325,41.0,0.008922742110990207,16057.0,3.4944504896626767
HOU,35454.0,7.08796481407437,481.0,0.09616153538584567,11333.0,2.2656937225109957,8975.0,1.794282287085166,50.0,0.009996001599360257,14615.0,2.921831267493003
PDX,35427.0,7.427044025157232,1820.0,0.38155136268343814,11641.0,2.440461215932914,7561.0,1.5851153039832284,183.0,0.038364779874213835,14222.0,2.981551362683438
DAL,34827.0,5.596496866463121,438.0,0.07038405913546521,12696.0,2.0401735497348548,5566.0,0.8944239112968022,25.0,0.004017354973485457,16102.0,2.5874979913225133
MKE,31969.0,12.81322645290581,1656.0,0.6637274549098197,11663.0,4.674549098196393,4889.0,1.9595190380761522,0.0,0.0,13761.0,5.515430861723447
ORF,30774.0,15.969901401141671,760.0,0.39439543331603527,11684.0,6.063310845874416,4275.0,2.2184743124026984,0.0,0.0,14055.0,7.293720809548521
SJC,30266.0,6.171696574225122,433.0,0.0882952691680261,10831.0,2.208605220228385,5878.0,1.1986133768352365,204.0,0.041598694942903754,12920.0,2.634584013050571
SJU,29517.0,12.827900912646676,701.0,0.30465015210777924,12534.0,5.447196870925684,5658.0,2.4589308996088657,85.0,0.03694046066927423,10539.0,4.5801825293350715
JAX,28671.0,10.611028867505551,1152.0,0.42635085122131755,11201.0,4.145447816432273,5626.0,2.082161361954108,45.0,0.016654330125832718,10647.0,3.9404145077720205
ASE,28290.0,30.75,3487.0,3.7902173913043478,9491.0,10.316304347826087,6876.0,7.473913043478261,0.0,0.0,8436.0,9.169565217391304
SDF,27719.0,15.502796420581655,980.0,0.5480984340044742,11931.0,6.672818791946309,3672.0,2.053691275167785,48.0,0.026845637583892617,11088.0,6.201342281879195
