DEST_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Chicago, IL",7065160.0,16.689485743982235,387210.0,0.914676493515697,1742934.0,4.117199348026363,2386196.0,5.636727848250773,5588.0,0.013200103937826281,2543232.0,6.007681950251577
"New York, NY",5583053.0,18.685229003162704,235935.0,0.7896216469485768,1273850.0,4.263290885054971,2316974.0,7.754393480479927,5211.0,0.01744005087099851,1751083.0,5.86048293980823
"Dallas/Fort Worth, TX",4626406.0,15.20113949255124,328590.0,1.0796593350988677,1363865.0,4.481297602071327,1084179.0,3.5623238025142436,5812.0,0.01909668600868748,1843960.0,6.058762066858115
"Atlanta, GA",3852883.0,9.753492175198595,243450.0,0.6162885480955684,1309590.0,3.3151995058553108,814901.0,2.0629047201956325,4504.0,0.011401781148582625,1480438.0,3.7476976199035
"Newark, NJ",3395660.0,24.945343951103407,105173.0,0.772626428844289,579437.0,4.256685081249449,1830338.0,13.446107960389057,1637.0,0.012025800005876995,879075.0,6.457898680614734
"Denver, CO",3395183.0,13.469527580297067,176072.0,0.6985210105370064,1001814.0,3.9744429986035295,930655.0,3.692137711057509,3868.0,0.015345309127840549,1282774.0,5.089080550971182
"San Francisco, CA",3341915.0,19.547249160651827,102187.0,0.5977036369804523,708500.0,4.144098826667291,1536308.0,8.986044008750278,2132.0,0.012470315735292397,992788.0,5.806932372518513
"Houston, TX",3233273.0,13.466584199653472,197828.0,0.8239537518326003,864182.0,3.5993186058909767,905291.0,3.770537618286019,3081.0,0.012832367053178728,1262891.0,5.2599418565906975
"Boston, MA",2782509.0,18.48180054996878,107098.0,0.7113593793589011,681836.0,4.528846792512986,927691.0,6.16184890471193,1613.0,0.010713763832246237,1064271.0,7.069031709552719
"Washington, DC",2770157.0,13.28262089137158,134828.0,0.6464865383232241,803208.0,3.8513006161444223,577282.0,2.768008439020882,2477.0,0.011876962911462204,1252362.0,6.004948334971591
"Charlotte, NC",2626871.0,11.154915283026881,115737.0,0.49147309864537775,829400.0,3.5220179200815322,444659.0,1.888228799524396,2624.0,0.01114272368253429,1234451.0,5.24205274109304
"Los Angeles, CA",2568511.0,11.675262277495955,109652.0,0.49842724413171147,915454.0,4.1612302041855305,524687.0,2.3849842724413173,7431.0,0.033777886870670376,1011287.0,4.596842669866724
"Phoenix, AZ",2020907.0,11.16128551230504,79384.0,0.4384306101709893,736258.0,4.066285954137763,292462.0,1.6152410197499227,3810.0,0.021042283391507974,908993.0,5.020285644854858
"Orlando, FL",1938856.0,13.549432195394667,73110.0,0.51091931933331,583800.0,4.079807121143296,446561.0,3.1207309829134493,5103.0,0.03566162339704392,830282.0,5.802313148607569
"Detroit, MI",1920005.0,11.870861438967237,180248.0,1.1144236773607188,611145.0,3.778541000735744,312788.0,1.9338819470635151,2075.0,0.012829152781298496,813749.0,5.031185661025961
"Minneapolis, MN",1888395.0,11.732440744307414,210756.0,1.3094094622720636,581825.0,3.614830232052437,370955.0,2.304712497281849,2183.0,0.013562797055077506,722676.0,4.489925755645988
"Las Vegas, NV",1763174.0,10.748242838767885,61283.0,0.37357887870863127,505203.0,3.0796986156068837,422765.0,2.5771596471656824,4101.0,0.024999542802801703,769822.0,4.692806154483885
"Philadelphia, PA",1617893.0,13.578167749299226,57116.0,0.4793460563640331,496951.0,4.170661496886383,414962.0,3.4825687765412825,1655.0,0.013889588263927355,647209.0,5.4317018312436005
"Seattle, WA",1483960.0,10.388893945015786,53962.0,0.37777668876583054,435590.0,3.049474590628741,424073.0,2.9688464796522007,2589.0,0.01812504813043874,567746.0,3.974671137838576
"Fort Lauderdale, FL",1452502.0,14.757299900432812,48579.0,0.4935586125617215,476797.0,4.844217991181192,329609.0,3.3488001137910715,2527.0,0.025674110499258326,594990.0,6.04504907239957
"Salt Lake City, UT",1122222.0,9.73711519105959,88851.0,0.7709280533092702,415556.0,3.605629403394301,158406.0,1.3744316801443792,2200.0,0.01908860583764273,457209.0,3.967037448373998
"Miami, FL",1077004.0,12.074712708111441,49293.0,0.5526430853747407,396254.0,4.442558439374404,193969.0,2.1746622568529625,2811.0,0.031515219462974385,434677.0,4.873333707046359
"Baltimore, MD",938826.0,8.970332221786947,40184.0,0.38395169072893875,297029.0,2.8380645716087485,201045.0,1.9209528086452192,3173.0,0.030317507333339704,397395.0,3.7970456434707
"Tampa, FL",893396.0,11.662980901032624,40914.0,0.5341183535462983,302103.0,3.9438519079385386,183007.0,2.3890941371522567,2076.0,0.027101473871098288,365296.0,4.768815028524432
"Nashville, TN",884551.0,10.701594560588463,41924.0,0.5072106078203639,299948.0,3.6288714672861015,139320.0,1.6855400696864111,1468.0,0.017760356174990322,401891.0,4.862212059620596
"San Diego, CA",860067.0,9.200151897650935,33941.0,0.36306747678747164,291334.0,3.116404946300971,169473.0,1.8128556758375765,1994.0,0.021329853236917547,363325.0,3.886493945487998
"Raleigh/Durham, NC",810889.0,12.6391352463488,37999.0,0.5922814346057328,250719.0,3.90789781317705,145640.0,2.27005626821703,1080.0,0.016833704817868667,375451.0,5.852066025531119
"Austin, TX",749837.0,11.221912928957332,36971.0,0.5533007078824885,256967.0,3.8457175354315387,125217.0,1.8739729717595295,889.0,0.013304598991304869,329793.0,4.93561711489247
"St. Louis, MO",706024.0,10.321686500394724,31416.0,0.45928481623344347,242729.0,3.5485658314084385,112517.0,1.6449372825355983,1126.0,0.016461506973480308,318236.0,4.652437063243765
"Cleveland, OH",671923.0,13.54328502610203,39034.0,0.7867695966782899,215800.0,4.349666418075907,111304.0,2.243444258561264,441.0,0.008888799306633341,305344.0,6.154515953479935
"Cincinnati, OH",660364.0,13.687151532737786,35826.0,0.7425539411776898,179977.0,3.7303252015669366,107426.0,2.2265840363131386,451.0,0.009347731465168818,336684.0,6.978340622214852
"New Orleans, LA",654449.0,11.251207729468598,34815.0,0.5985352519469802,209964.0,3.6096755892516375,128578.0,2.2104973610466416,925.0,0.015902487664827134,280167.0,4.816597039558513
"Dallas, TX",636076.0,8.603062107768881,18988.0,0.2568167063406189,187200.0,2.531919497944168,148224.0,2.0047608742696386,1970.0,0.026644665656784246,279694.0,3.7829203635576714
"Pittsburgh, PA",600660.0,11.91809361296851,37177.0,0.7376535248715252,193710.0,3.8435286414412984,90583.0,1.7973174070914106,1244.0,0.02468302942518701,277946.0,5.51491101013909
"Indianapolis, IN",598264.0,12.176666938044452,33189.0,0.6755067980135147,201202.0,4.095131482536839,93115.0,1.8952006838720183,1051.0,0.021391353903769436,269707.0,5.48943661971831
"Kansas City, MO",576307.0,10.485172112655556,35847.0,0.6521905247070809,202108.0,3.677097736700386,88867.0,1.6168219198020521,835.0,0.015191761880503602,248650.0,4.523870169565534
"Columbus, OH",568846.0,11.624997445486686,29222.0,0.5971839045225104,193732.0,3.9591277869740256,89721.0,1.8335479124517198,622.0,0.012711258251078005,255549.0,5.222426583287352
"Portland, OR",534682.0,8.562584075331497,23689.0,0.3793639100634168,183092.0,2.9320991608481197,84691.0,1.356271219012235,1649.0,0.026407661264492985,241561.0,3.8684421241432325
"San Jose, CA",500497.0,7.972617359861095,10477.0,0.16689233317934912,177981.0,2.8351307007343456,67495.0,1.0751549134237062,1200.0,0.019115281074278796,243344.0,3.876324131449416
"Sacramento, CA",472916.0,9.185688757672287,18906.0,0.36722088415818505,163963.0,3.184737005671665,49437.0,0.9602400745862792,816.0,0.01584958433688136,239794.0,4.657641208919276
"San Antonio, TX",439742.0,10.797839165131982,25664.0,0.6301780233271946,157245.0,3.861141804788214,63422.0,1.5573235113566606,667.0,0.016378146101903007,192744.0,4.7328176795580115
"Oakland, CA",439144.0,8.282141712087208,6774.0,0.12775587952398015,155185.0,2.9267487694019576,64974.0,1.2253927540878486,2055.0,0.03875676593176546,210156.0,3.9634875431416554
"Jacksonville, FL",414947.0,12.226258876219099,17580.0,0.5179881552196588,156299.0,4.6052918471375115,74105.0,2.1834762367777483,469.0,0.013818910398067121,166494.0,4.905683726686114
"Fort Myers, FL",413794.0,12.003771176607101,19049.0,0.5525934091436528,145552.0,4.22232536551404,86811.0,2.5183047110698538,285.0,0.008267579484799257,162097.0,4.702280111394755
"San Juan, PR",392094.0,14.613469494241736,15690.0,0.5847713465767209,169848.0,6.330289590399165,66273.0,2.4700160262383064,1360.0,0.05068763743431106,138923.0,5.177704893593232
"West Palm Beach/Palm Beach, FL",381914.0,14.65180695158444,14601.0,0.5601549911762449,134199.0,5.148430906161283,76135.0,2.920854753318499,372.0,0.01427146474334382,156607.0,6.008094836185069
"Milwaukee, WI",370210.0,11.983620884990128,17973.0,0.5817822807755803,122792.0,3.9747515618424885,51186.0,1.6568801993979219,347.0,0.011232318000841615,177912.0,5.758974524973295
"Honolulu, HI",359270.0,6.890354998945168,11660.0,0.22362440306093093,182955.0,3.508851000172609,45201.0,0.8668993690186226,677.0,0.01298402408852918,118777.0,2.277996202604476
"Hartford, CT",354562.0,12.353646214417616,21940.0,0.7644332950071426,127786.0,4.452318734538866,47270.0,1.6469809414306122,681.0,0.023727396257970105,156885.0,5.466185847183025
"Richmond, VA",336171.0,13.552003547528823,22669.0,0.9138514875433363,123364.0,4.973151656857212,51016.0,2.05659920986858,475.0,0.019148593082318793,138647.0,5.589252600177376
"Norfolk, VA",332180.0,13.424126086077996,18331.0,0.7407961204283694,107563.0,4.346857951101232,55339.0,2.2363709840371793,546.0,0.022065063649222064,150401.0,6.078035966861992
"Oklahoma City, OK",331784.0,13.749854952341483,26504.0,1.0983837546622461,111906.0,4.637629506837961,49961.0,2.0704931620389555,191.0,0.007915457936179031,143222.0,5.935433070866142
"Buffalo, NY",331671.0,13.344773477106301,15420.0,0.6204232719079423,127476.0,5.128993320994608,43741.0,1.7599179206566347,540.0,0.021726885008449343,144494.0,5.813712078538666
"Santa Ana, CA",324803.0,7.960467624136072,16034.0,0.3929709327974119,116070.0,2.8447134944365473,55726.0,1.3657663840007843,450.0,0.011028871133767952,136523.0,3.3459879417675604
"Memphis, TN",312273.0,12.100321618165614,19332.0,0.7490990816445151,112338.0,4.353004998643779,51852.0,2.0092223040260393,298.0,0.011547254620839307,128453.0,4.977447979230441
"Charleston, SC",309997.0,12.056041690973437,18956.0,0.7372146385097033,108266.0,4.210554972193054,49581.0,1.928246412320616,287.0,0.01116166919457084,132907.0,5.168863998755493
"Omaha, NE",300417.0,11.573195161414592,20112.0,0.7747900454580476,100320.0,3.8647045226905,45362.0,1.7475152168888204,420.0,0.016179983049541567,134203.0,5.170005393327683
"Louisville, KY",295886.0,12.160364951504192,15355.0,0.6310619759986849,105166.0,4.322127239848759,43492.0,1.7874404076935722,788.0,0.032385336182804536,131085.0,5.387349991780371
"Burbank, CA",284843.0,8.927288682734197,7732.0,0.242329269439308,105994.0,3.32196696649638,36858.0,1.1551697119754285,1194.0,0.037421255523866236,133065.0,4.170401479299214
"Knoxville, TN",275905.0,15.29915714761007,17139.0,0.9503715204613508,88787.0,4.923311522679383,42890.0,2.3782854607962736,124.0,0.0068759010757458135,126965.0,7.040312742597316
"Birmingham, AL",260629.0,13.38068590204333,17046.0,0.8751411849265839,89414.0,4.590512372933566,38810.0,1.9925043638977307,701.0,0.03598932128555293,114658.0,5.886538658999897
"Grand Rapids, MI",259175.0,13.501510731402375,18275.0,0.9520212544280058,89183.0,4.645915815794957,44823.0,2.335017712023338,469.0,0.02443217336945197,106425.0,5.544123775786622
"Albuquerque, NM",253237.0,10.668899561846983,11496.0,0.48432760364004046,100924.0,4.251937984496124,32637.0,1.375,575.0,0.02422480620155039,107605.0,4.5334091675092685
"Savannah, GA",234042.0,13.267687074829931,18768.0,1.0639455782312925,76103.0,4.314229024943311,37680.0,2.1360544217687076,188.0,0.010657596371882086,101303.0,5.7428004535147394
"Ontario, CA",223354.0,9.877238756467518,7143.0,0.31588024587626584,80980.0,3.5811259010303806,22568.0,0.9980099942510945,306.0,0.01353203909255738,112357.0,4.96869057621722
"Tucson, AZ",222977.0,11.54902367017144,8860.0,0.4589009167659398,83743.0,4.337442378411975,28990.0,1.5015279432330242,641.0,0.03320039363961257,100743.0,5.217952038120889
"Providence, RI",220359.0,12.136979510905485,10039.0,0.5529301608283763,81126.0,4.46827495042961,30539.0,1.6820334875523244,1246.0,0.06862745098039216,97409.0,5.365113461114783
"Dayton, OH",215513.0,15.577376219732562,15369.0,1.1108782074448862,66779.0,4.826816046259487,29642.0,2.142537043729671,139.0,0.010046982291290207,103584.0,7.487097940007228
"Des Moines, IA",210173.0,12.401782026317342,17467.0,1.0306838968549006,69324.0,4.09063551070986,32950.0,1.944296925709565,162.0,0.009559214020180564,90270.0,5.326606479022836
"Greer, SC",209225.0,13.059422008613694,13606.0,0.8492603457961425,70876.0,4.423943574059048,32880.0,2.052306347918357,137.0,0.008551276449659822,91726.0,5.725360464390487
"El Paso, TX",201952.0,11.84330283837673,9383.0,0.550258034248182,77085.0,4.520584095707249,23034.0,1.3508092892329346,235.0,0.013781374618813043,92215.0,5.407870044569552
"Tulsa, OK",201791.0,11.812386583152842,15745.0,0.9216765205174735,69606.0,4.07457706491834,31368.0,1.8362114382719663,83.0,0.0048586313879295205,84989.0,4.975062928057133
