DEST_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
California,802141.0,12.29052325135984,29866.0,0.45761127710104954,203923.0,3.124538420286524,292566.0,4.482739600091933,1159.0,0.017758369723435224,274627.0,4.207875584156898
Illinois,691199.0,20.241273281012067,56178.0,1.6451329506852523,141710.0,4.149877005973996,280437.0,8.212398969192925,179.0,0.005241888251142087,212695.0,6.22862246690875
New York,644672.0,20.53945901169274,34512.0,1.099563513556568,136711.0,4.35565680058623,260316.0,8.293752190397297,1054.0,0.03358078185235926,212079.0,6.7569057253002835
Texas,576704.0,9.162467033141622,25341.0,0.4026087509135394,204698.0,3.2521686632137525,117619.0,1.86868863398049,571.0,0.00907184391979918,228475.0,3.6299291411140415
Florida,573103.0,11.398683320736703,27054.0,0.5380882294442898,196134.0,3.9009904928597,133111.0,2.647499900552926,1955.0,0.03888380603842635,214849.0,4.273220891841362
New Jersey,293704.0,26.60844355861569,6260.0,0.5671317267620946,46177.0,4.183457148034064,177089.0,16.043576734915746,62.0,0.005616959594129371,64116.0,5.808660989309658
Virginia,284323.0,13.02143347836043,16180.0,0.7410121364781315,87366.0,4.001190748797802,53962.0,2.4713533318067324,316.0,0.014472177696359056,126499.0,5.793405083581406
Georgia,265270.0,8.040190343406177,25833.0,0.7829842693904767,92511.0,2.803958415421453,58644.0,1.7774679477464916,225.0,0.006819628406025521,88057.0,2.66896008244173
Massachusetts,263012.0,22.82693976740149,15744.0,1.366429439333449,57180.0,4.962680090262107,99362.0,8.623676445061621,157.0,0.013626106578718973,90569.0,7.860527686165597
Colorado,258814.0,11.910446387482743,12194.0,0.5611596870685688,88100.0,4.054302807179015,56136.0,2.583341003221353,121.0,0.005568338702254947,102263.0,4.706074551311551
North Carolina,252895.0,9.348131445680702,12054.0,0.4455698074150741,90300.0,3.3378922855136213,40805.0,1.5083354895944996,128.0,0.004731453073596274,109608.0,4.051602410083909
Michigan,223106.0,14.591628515369523,34594.0,2.262524525833878,64942.0,4.247351209941138,37990.0,2.484630477436233,43.0,0.002812295618051014,85537.0,5.594310006540223
Minnesota,162018.0,12.547862453531598,28863.0,2.2353624535315983,56412.0,4.368959107806692,21030.0,1.628717472118959,11.0,8.519206939281289E-4,55702.0,4.313971499380421
Arizona,153962.0,8.906745343052181,9047.0,0.5233715145204212,55903.0,3.2340043966215433,23029.0,1.332234177947472,398.0,0.023024412819622815,65585.0,3.7941108411431217
Pennsylvania,145966.0,10.153450194769059,9104.0,0.6332776850306066,50239.0,3.494643850862549,23223.0,1.6154006677796326,251.0,0.017459654980523095,63149.0,4.392668336115748
Nevada,130180.0,8.783482895890966,4589.0,0.3096282302138857,38118.0,2.5718912354092165,34389.0,2.320288779434586,180.0,0.012144929491937117,52904.0,3.56952972134134
Ohio,123759.0,13.136503555885787,9532.0,1.0117821887273113,37522.0,3.982804373208789,19885.0,2.1107101156989705,1.0,1.0614584439019212E-4,56819.0,6.031100732406326
Missouri,110246.0,10.202295021284472,10637.0,0.984360540440496,38103.0,3.5260966129927818,19090.0,1.7666111419581714,39.0,0.003609106052193226,42377.0,3.9216176198408292
Tennessee,108753.0,10.426941514860978,7734.0,0.7415148609779483,36638.0,3.512751677852349,17213.0,1.6503355704697986,64.0,0.006136145733461169,47104.0,4.516203259827421
Utah,103889.0,10.52147052866113,11564.0,1.1711565728175004,33790.0,3.422118695564108,16493.0,1.6703463641887786,80.0,0.008102086287218958,41962.0,4.249746809803525
Washington,95697.0,8.327271145144449,4584.0,0.39888618169161155,32751.0,2.8498955795335887,21547.0,1.8749564914723287,282.0,0.02453880960668291,36533.0,3.1789940828402368
Kentucky,95064.0,14.860715960606534,6894.0,1.0776926684383306,28571.0,4.466312333906519,14532.0,2.271689854619353,72.0,0.011255275910583085,44995.0,7.03376582773175
Indiana,74400.0,13.872832369942197,7996.0,1.4909565541674437,26260.0,4.8965131456274475,9831.0,1.8331157933992168,34.0,0.0063397352228230465,30279.0,5.6459071415252655
Wisconsin,63654.0,13.434782608695652,5675.0,1.1977627691008865,23300.0,4.917686787674124,10787.0,2.2766990291262137,16.0,0.0033769523005487546,23876.0,5.039257070493879
