DEST_CITY_NAME,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,MIN_OF_ALL_DELAYS,MAX_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,MIN_OF_WEATHER_DELAY,MAX_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,MIN_OF_CARRIER_DELAY,MAX_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,MIN_OF_NAS_DELAY,MAX_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,MIN_OF_SECURITY_DELAY,MAX_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY,MIN_OF_LATE_AIRCRAFT_DELAY,MAX_OF_LATE_AIRCRAFT_DELAY
"Chicago, IL",7065160.0,16.689485743982235,0.0,2695.0,387210.0,0.914676493515697,0.0,1847.0,1742934.0,4.117199348026363,0.0,2695.0,2386196.0,5.636727848250773,0.0,1567.0,5588.0,0.013200103937826281,0.0,560.0,2543232.0,6.007681950251577,0.0,2014.0
"New York, NY",5583053.0,18.685229003162704,0.0,2649.0,235935.0,0.7896216469485768,0.0,1184.0,1273850.0,4.263290885054971,0.0,2592.0,2316974.0,7.754393480479927,0.0,1427.0,5211.0,0.01744005087099851,0.0,221.0,1751083.0,5.86048293980823,0.0,1651.0
"Dallas/Fort Worth, TX",4626406.0,15.20113949255124,0.0,2034.0,328590.0,1.0796593350988677,0.0,1552.0,1363865.0,4.481297602071327,0.0,1910.0,1084179.0,3.5623238025142436,0.0,1238.0,5812.0,0.01909668600868748,0.0,332.0,1843960.0,6.058762066858115,0.0,2010.0
"Atlanta, GA",3852883.0,9.753492175198595,0.0,1464.0,243450.0,0.6162885480955684,0.0,1390.0,1309590.0,3.3151995058553108,0.0,1365.0,814901.0,2.0629047201956325,0.0,1188.0,4504.0,0.011401781148582625,0.0,264.0,1480438.0,3.7476976199035,0.0,1317.0
"Newark, NJ",3395660.0,24.945343951103407,0.0,1844.0,105173.0,0.772626428844289,0.0,1431.0,579437.0,4.256685081249449,0.0,1564.0,1830338.0,13.446107960389057,0.0,1741.0,1637.0,0.012025800005876995,0.0,219.0,879075.0,6.457898680614734,0.0,1401.0
"Denver, CO",3395183.0,13.469527580297067,0.0,1570.0,176072.0,0.6985210105370064,0.0,1570.0,1001814.0,3.9744429986035295,0.0,1460.0,930655.0,3.692137711057509,0.0,1493.0,3868.0,0.015345309127840549,0.0,265.0,1282774.0,5.089080550971182,0.0,1480.0
"San Francisco, CA",3341915.0,19.547249160651827,0.0,1909.0,102187.0,0.5977036369804523,0.0,1239.0,708500.0,4.144098826667291,0.0,1780.0,1536308.0,8.986044008750278,0.0,1447.0,2132.0,0.012470315735292397,0.0,312.0,992788.0,5.806932372518513,0.0,1384.0
"Houston, TX",3233273.0,13.466584199653472,0.0,1737.0,197828.0,0.8239537518326003,0.0,1422.0,864182.0,3.5993186058909767,0.0,1571.0,905291.0,3.770537618286019,0.0,1711.0,3081.0,0.012832367053178728,0.0,210.0,1262891.0,5.2599418565906975,0.0,1262.0
"Boston, MA",2782509.0,18.48180054996878,0.0,1596.0,107098.0,0.7113593793589011,0.0,1051.0,681836.0,4.528846792512986,0.0,1596.0,927691.0,6.16184890471193,0.0,1065.0,1613.0,0.010713763832246237,0.0,113.0,1064271.0,7.069031709552719,0.0,1304.0
"Washington, DC",2770157.0,13.28262089137158,0.0,1585.0,134828.0,0.6464865383232241,0.0,1223.0,803208.0,3.8513006161444223,0.0,1585.0,577282.0,2.768008439020882,0.0,1251.0,2477.0,0.011876962911462204,0.0,249.0,1252362.0,6.004948334971591,0.0,1199.0
