DEST_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,MIN_OF_ALL_DELAYS,MAX_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,MIN_OF_WEATHER_DELAY,MAX_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,MIN_OF_CARRIER_DELAY,MAX_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,MIN_OF_NAS_DELAY,MAX_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,MIN_OF_SECURITY_DELAY,MAX_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY,MIN_OF_LATE_AIRCRAFT_DELAY,MAX_OF_LATE_AIRCRAFT_DELAY
Texas,1.0584871E7,13.175701395259678,0.0,2034.0,667771.0,0.8312195109807148,0.0,1552.0,3151014.0,3.922279218734246,0.0,1910.0,2452343.0,3.05259639789236,0.0,1711.0,13178.0,0.016403543603576466,0.0,332.0,4300565.0,5.35320272404878,0.0,2010.0
California,9897793.0,12.146513480113933,0.0,1928.0,356186.0,0.4371093687681548,0.0,1280.0,3069352.0,3.766690760578107,0.0,1928.0,2622091.0,3.2178146863230443,0.0,1447.0,18538.0,0.02274972480171611,0.0,1078.0,3831626.0,4.702148939642911,0.0,1466.0
Florida,7600049.0,12.981595291127478,0.0,1966.0,346578.0,0.5919876743963597,0.0,1338.0,2552090.0,4.359208674382695,0.0,1966.0,1551656.0,2.6503737308864324,0.0,1288.0,15431.0,0.0263575928178079,0.0,816.0,3134294.0,5.353667618644184,0.0,1514.0
Illinois,7338406.0,16.56446534137208,0.0,2695.0,412593.0,0.9313170256037524,0.0,1847.0,1839832.0,4.152922773412547,0.0,2695.0,2424388.0,5.472399728229587,0.0,1567.0,5751.0,0.01298132594165965,0.0,560.0,2655842.0,5.994844488184533,0.0,2014.0
New York,6858565.0,17.612211462658664,0.0,2649.0,314250.0,0.8069672667883858,0.0,1184.0,1755400.0,4.507717868322458,0.0,2592.0,2493780.0,6.403814894420178,0.0,1427.0,7676.0,0.01971131500355656,0.0,332.0,2287459.0,5.874000118124087,0.0,1651.0
Georgia,4179370.0,9.908768685467715,0.0,1464.0,274247.0,0.6502056735066444,0.0,1390.0,1419099.0,3.3645079839254595,0.0,1365.0,864758.0,2.0502341240205317,0.0,1188.0,4840.0,0.011475040601254193,0.0,264.0,1616426.0,3.8323458634138245,0.0,1317.0
North Carolina,3960043.0,11.610101264783662,0.0,1842.0,196798.0,0.5769747219176395,0.0,1123.0,1233771.0,3.6171845223785204,0.0,1842.0,676867.0,1.9844467377728785,0.0,1173.0,4188.0,0.012278428314266784,0.0,153.0,1848419.0,5.419216854400356,0.0,1456.0
Colorado,3908550.0,13.837093627973335,0.0,1627.0,222766.0,0.7886387532791209,0.0,1570.0,1202365.0,4.25662639086059,0.0,1619.0,1014835.0,3.5927305297218455,0.0,1493.0,4113.0,0.014560889867560689,0.0,265.0,1464471.0,5.184537064244218,0.0,1480.0
Virginia,3619862.0,13.355798002457265,0.0,1585.0,191604.0,0.7069397453446629,0.0,1223.0,1095798.0,4.043042729114167,0.0,1585.0,708680.0,2.6147369508510034,0.0,1251.0,3693.0,0.013625647061427944,0.0,395.0,1620087.0,5.977452930086004,0.0,1407.0
New Jersey,3485767.0,24.50451318101933,0.0,1844.0,107216.0,0.7537152899824253,0.0,1431.0,596091.0,4.190446397188049,0.0,1564.0,1854844.0,13.039325131810193,0.0,1741.0,1783.0,0.01253427065026362,0.0,219.0,925833.0,6.5084920913884,0.0,1401.0
Massachusetts,2839668.0,18.484533666614592,0.0,1596.0,112710.0,0.7336744258709577,0.0,1051.0,706145.0,4.5965799614643545,0.0,1596.0,933335.0,6.07545045045045,0.0,1065.0,1850.0,0.012042389210019268,0.0,113.0,1085628.0,7.066786439618809,0.0,1304.0
Michigan,2517361.0,12.375493449352309,0.0,1575.0,256802.0,1.2624536046997517,0.0,1575.0,829471.0,4.077727797851683,0.0,1546.0,394491.0,1.939340756581373,0.0,1075.0,3962.0,0.019477423002236805,0.0,1047.0,1032635.0,5.076493867217265,0.0,1367.0
Pennsylvania,2452710.0,13.00827366746221,0.0,2041.0,119729.0,0.6349986740917528,0.0,1032.0,775591.0,4.113450013259082,0.0,2041.0,541964.0,2.8743781490320868,0.0,1106.0,3094.0,0.016409440466719702,0.0,221.0,1012332.0,5.3690373906125695,0.0,1778.0
Arizona,2294529.0,11.191677925675906,0.0,2350.0,89055.0,0.4343701376932119,0.0,1092.0,842971.0,4.111632466918023,0.0,2315.0,326497.0,1.5925051580082041,0.0,1083.0,4453.0,0.021719726271942873,0.0,210.0,1031553.0,5.0314504367845245,0.0,2206.0
Minnesota,2023231.0,11.860822717653196,0.0,1734.0,250832.0,1.4704568504112416,0.0,1460.0,621578.0,3.643887654545348,0.0,1665.0,386833.0,2.267737907504353,0.0,972.0,2443.0,0.01432164191791583,0.0,550.0,761545.0,4.464418663274339,0.0,1222.0
Nevada,1963092.0,10.626184766781602,0.0,1478.0,71519.0,0.3871311728311528,0.0,1105.0,578903.0,3.1335924348141453,0.0,1450.0,442944.0,2.3976485999317965,0.0,912.0,4507.0,0.02439631700597052,0.0,262.0,865219.0,4.683416242198537,0.0,1078.0
Washington,1679575.0,10.410223194639858,0.0,1454.0,64659.0,0.40076484916852095,0.0,1265.0,513596.0,3.1833344696570576,0.0,1244.0,446584.0,2.7679854219996405,0.0,1138.0,2981.0,0.018476623754950756,0.0,161.0,651755.0,4.039661830059688,0.0,1454.0
Tennessee,1616322.0,11.67997745404093,0.0,1414.0,93506.0,0.6756995028326974,0.0,989.0,548597.0,3.964309457740779,0.0,1414.0,252029.0,1.8212293328708522,0.0,817.0,1930.0,0.013946699040351486,0.0,419.0,720260.0,5.2047924615562495,0.0,1227.0
Ohio,1609462.0,13.324243327372674,0.0,1654.0,96018.0,0.7949036360023842,0.0,1226.0,524597.0,4.34297801178886,0.0,1442.0,249318.0,2.0640274190343733,0.0,1523.0,1222.0,0.010116564010861646,0.0,91.0,738307.0,6.112217696536194,0.0,1083.0
Missouri,1464646.0,10.695687099271202,0.0,1275.0,81229.0,0.5931808555696738,0.0,989.0,506065.0,3.6955775606478842,0.0,1270.0,231818.0,1.6928683053644715,0.0,952.0,2082.0,0.0152039609166192,0.0,228.0,643452.0,4.698856416772554,0.0,828.0
Utah,1178473.0,9.763572795585786,0.0,1495.0,91434.0,0.757524792669489,0.0,1236.0,439936.0,3.6448413849098187,0.0,1433.0,166089.0,1.37603665255466,0.0,1299.0,2268.0,0.018790233718030507,0.0,1048.0,478746.0,3.9663797317337885,0.0,1460.0
Kentucky,1109724.0,13.349260194875496,0.0,1296.0,60219.0,0.7243955250811981,0.0,1055.0,345923.0,4.161229399735355,0.0,1222.0,172245.0,2.0719956694334174,0.0,1128.0,1394.0,0.016768916155419224,0.0,307.0,529943.0,6.374870684470107,0.0,997.0
Louisiana,1001347.0,11.59342147918307,0.0,1121.0,67217.0,0.77822674014727,0.0,1026.0,342551.0,3.9659959246051963,0.0,1119.0,182565.0,2.113705830593248,0.0,998.0,972.0,0.01125364701523642,0.0,278.0,408042.0,4.7242393368221185,0.0,1010.0
Maryland,941612.0,8.981247973140535,0.0,1235.0,40933.0,0.3904255927967799,0.0,959.0,298099.0,2.8433166097556324,0.0,1235.0,201310.0,1.9201274298468172,0.0,998.0,3173.0,0.030264588619064878,0.0,344.0,398097.0,3.797113752122241,0.0,927.0
Indiana,869223.0,12.930440474242447,0.0,1381.0,68996.0,1.0263749014474213,0.0,1099.0,297870.0,4.431072698332416,0.0,1379.0,121684.0,1.8101542626779525,0.0,871.0,1634.0,0.024307156776698452,0.0,238.0,379039.0,5.638531455007959,0.0,810.0
South Carolina,790813.0,12.510686431159133,0.0,1405.0,51378.0,0.8128015693471073,0.0,1029.0,254153.0,4.020708421002674,0.0,1090.0,136077.0,2.152742402429957,0.0,816.0,930.0,0.01471262913100568,0.0,110.0,348275.0,5.509721409248391,0.0,1381.0
Wisconsin,771805.0,12.69666710534974,0.0,1237.0,65944.0,1.0848193722445219,0.0,1034.0,264869.0,4.357258011449629,0.0,1039.0,116547.0,1.9172698558926105,0.0,1237.0,660.0,0.010857406066986906,0.0,62.0,323785.0,5.326462459695993,0.0,1082.0
Oregon,720320.0,9.464942709975823,0.0,1422.0,34099.0,0.44805792074003997,0.0,963.0,253783.0,3.3346867444549564,0.0,1402.0,103532.0,1.3604015557657942,0.0,683.0,1952.0,0.025649111741826974,0.0,152.0,326954.0,4.296147377273205,0.0,559.0
Hawaii,689750.0,5.991209707540368,0.0,1507.0,21557.0,0.18724538987379155,0.0,915.0,339823.0,2.951722879949968,0.0,1507.0,96276.0,0.8362590877900058,0.0,481.0,1656.0,0.014384114933942515,0.0,201.0,230438.0,2.0015982349926604,0.0,690.0
Oklahoma,552425.0,12.721065720996638,0.0,1083.0,44222.0,1.0183300326993046,0.0,1083.0,187729.0,4.322963201768526,0.0,965.0,84769.0,1.9520333440795836,0.0,1000.0,274.0,0.006309584120112375,0.0,45.0,235431.0,5.421429558329112,0.0,845.0
Alabama,521023.0,13.068701715661684,0.0,1189.0,43842.0,1.099678940503662,0.0,986.0,182424.0,4.575699809370924,0.0,1180.0,72621.0,1.8215360690277917,0.0,748.0,930.0,0.023326979030801647,0.0,254.0,221206.0,5.548459917728504,0.0,1137.0
Puerto Rico,457997.0,15.285928843201388,0.0,1068.0,16971.0,0.5664174621186837,0.0,349.0,194087.0,6.477771844336159,0.0,981.0,75880.0,2.5325412188772445,0.0,723.0,1520.0,0.05073092583939657,0.0,233.0,169539.0,5.6584673920299045,0.0,782.0
Nebraska,377100.0,12.067586162757209,0.0,1003.0,27191.0,0.8701398444750232,0.0,848.0,135391.0,4.332650644820634,0.0,1003.0,55457.0,1.7746807897852732,0.0,613.0,519.0,0.016608531473007136,0.0,136.0,158542.0,5.07350635220327,0.0,644.0
Connecticut,366136.0,12.293455998388342,0.0,906.0,22413.0,0.7525433972400363,0.0,747.0,130405.0,4.37850451599906,0.0,906.0,49147.0,1.6501695598160024,0.0,551.0,702.0,0.02357049323439546,0.0,220.0,163469.0,5.488668032098849,0.0,617.0
Arkansas,365948.0,11.507075026727879,0.0,1103.0,28266.0,0.8888120244009811,0.0,1103.0,119447.0,3.755958744733036,0.0,949.0,67014.0,2.107225960631407,0.0,678.0,199.0,0.0062574680837683165,0.0,55.0,151022.0,4.748820828878687,0.0,758.0
Iowa,365254.0,12.369331843272715,0.0,1412.0,32977.0,1.1167665684581258,0.0,871.0,114474.0,3.876663618815402,0.0,1412.0,62403.0,2.113278472010566,0.0,279.0,297.0,0.010057909174032308,0.0,99.0,155103.0,5.2525652748145895,0.0,1014.0
New Mexico,300462.0,10.86033398395142,0.0,1125.0,12742.0,0.4605653148268633,0.0,534.0,122746.0,4.436709318296827,0.0,1124.0,39608.0,1.4316489553965155,0.0,694.0,575.0,0.020783633340562425,0.0,108.0,124791.0,4.510626762090653,0.0,855.0
Alaska,264459.0,6.643863836201482,0.0,1264.0,18180.0,0.4567265418917221,0.0,1264.0,84120.0,2.113302348951137,0.0,1040.0,49363.0,1.240120587865846,0.0,163.0,2828.0,0.07104635096093456,0.0,98.0,109968.0,2.7626680065318427,0.0,783.0
North Dakota,244027.0,14.231469061643436,0.0,1237.0,36493.0,2.1282440076981395,0.0,1149.0,101208.0,5.902373593048346,0.0,1233.0,31330.0,1.827141774071266,0.0,684.0,238.0,0.013879979005073774,0.0,46.0,74758.0,4.35982970782061,0.0,794.0
Idaho,237143.0,9.160698420056399,0.0,1215.0,17972.0,0.694248078185962,0.0,904.0,97194.0,3.75454861513501,0.0,1191.0,24305.0,0.9388882450650906,0.0,771.0,160.0,0.006180708463707652,0.0,36.0,97512.0,3.766832773206629,0.0,701.0
