ORIGIN_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
California,754813.0,11.564116313273686,18228.0,0.27926216448094127,209293.0,3.2064744453977205,219568.0,3.363892633901213,430.0,0.006587817134452751,307294.0,4.707899252359358
Illinois,691062.0,20.236668716507072,96842.0,2.8358663504055754,185955.0,5.4454010366335766,162392.0,4.755395472781048,439.0,0.012855427684558845,245434.0,7.187150429002314
New York,581486.0,18.53755419535833,33081.0,1.054609793420046,142922.0,4.556299413414945,139778.0,4.4560698801326195,1008.0,0.032134659525631215,264697.0,8.438440448865085
Florida,575580.0,11.441122684264927,10063.0,0.200027828575972,166017.0,3.3000119265325596,181977.0,3.6172576926135007,1293.0,0.025701677665580028,216230.0,4.2981235588773155
Texas,535932.0,8.518756358087487,17037.0,0.27080684130213634,208735.0,3.317888479145473,121336.0,1.9286622583926756,383.0,0.006087868769074262,188441.0,2.9953109104781284
Virginia,331485.0,15.179969776068141,28774.0,1.3176718413701516,82774.0,3.7905389934514813,103777.0,4.75234693410267,276.0,0.012639098777304575,115884.0,5.306772908366534
Colorado,274301.0,12.616180664152331,10774.0,0.4955385889062644,85336.0,3.924937908196118,72991.0,3.357142857142857,115.0,0.005289301812160795,105085.0,4.833272008094932
Michigan,272879.0,17.837560465420317,57899.0,3.7847431036736827,77565.0,5.07027062361093,66581.0,4.3522682703621385,48.0,0.003137665054255458,70786.0,4.6271408027193095
North Carolina,262144.0,9.690732320431778,4847.0,0.17918006728032235,81157.0,3.0001478688403385,72920.0,2.695648959373036,405.0,0.01497172008428524,102815.0,3.8007837048537945
Georgia,237304.0,7.19190204873318,15180.0,0.4600557643350709,82593.0,2.5031215904958177,72246.0,2.1895381258334345,249.0,0.0075463692568796216,67036.0,2.031640198811977
