ORIGIN_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
Texas,1.0579788E7,13.170177539542445,748329.0,0.9315522946195386,3497957.0,4.354408114386155,2083823.0,2.594032968428286,8958.0,0.011151305716071175,4240721.0,5.279032856392394
California,8865364.0,10.87964283347528,144638.0,0.1775008651814181,2888715.0,3.5450532485414636,1960212.0,2.405587231149476,15505.0,0.019027855160040155,3856294.0,4.732473633442882
Florida,7981147.0,13.632965512529251,453493.0,0.7746323215414311,2342900.0,4.002015612455802,2120447.0,3.622033377175751,21330.0,0.036434757357839534,3042977.0,5.197849443998429
Illinois,7133951.0,16.101546065995578,473548.0,1.0688123504717193,2155087.0,4.864097413442875,1635132.0,3.6905430415745046,3813.0,0.008606057870265879,2866371.0,6.469487202636212
New York,6449596.0,16.561375938536756,304113.0,0.7809062336301729,1745746.0,4.482754547602173,1752996.0,4.501371213755277,6456.0,0.016577820232335994,2640285.0,6.779766123316796
North Carolina,4380876.0,12.843603229608261,245000.0,0.7182770731821727,1224228.0,3.5891220601945504,989646.0,2.901387887209977,9872.0,0.028942168434507788,1912130.0,5.605874040587052
Colorado,4270594.0,15.119822977518146,270985.0,0.9594087449106037,1311720.0,4.6440785979819434,923885.0,3.270968312975748,2391.0,0.008465215082315455,1761613.0,6.236902106567534
Georgia,4070089.0,9.650065913013789,273362.0,0.6481335710627644,1466630.0,3.4773382523093264,977437.0,2.317475484152425,3912.0,0.009275241364921,1348748.0,3.1978433641243527
Virginia,3935009.0,14.51545422016961,236777.0,0.8734225776584247,1066427.0,3.9338340262126,1001735.0,3.6951982913486616,2868.0,0.01057947331338923,1627202.0,6.002419851636535
New Jersey,2940041.0,20.674666854189375,146325.0,1.0289722583594108,720847.0,5.069069301360711,695379.0,4.8899757392496745,2311.0,0.016251186667135473,1375179.0,9.670398368552442
Michigan,2638572.0,12.969843540324126,270069.0,1.3275183224455487,898999.0,4.419010120969922,669033.0,3.2886172267854246,4420.0,0.02172641430600819,796051.0,3.912971455817223
Massachusetts,2537699.0,16.51782157595324,107826.0,0.701836832992697,766969.0,4.99218271997084,669357.0,4.356828566593332,1889.0,0.012295455433042165,991658.0,6.454678000963328
