ORIGIN_STATE_NM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,MIN_OF_ALL_DELAYS,MAX_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,MIN_OF_WEATHER_DELAY,MAX_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,MIN_OF_CARRIER_DELAY,MAX_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,MIN_OF_NAS_DELAY,MAX_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,MIN_OF_SECURITY_DELAY,MAX_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY,MIN_OF_LATE_AIRCRAFT_DELAY,MAX_OF_LATE_AIRCRAFT_DELAY
Texas,1.0579788E7,13.170177539542445,0.0,1627.0,748329.0,0.9315522946195386,0.0,1382.0,3497957.0,4.354408114386155,0.0,1619.0,2083823.0,2.594032968428286,0.0,1427.0,8958.0,0.011151305716071175,0.0,366.0,4240721.0,5.279032856392394,0.0,1387.0
California,8865364.0,10.87964283347528,0.0,2206.0,144638.0,0.1775008651814181,0.0,1570.0,2888715.0,3.5450532485414636,0.0,2041.0,1960212.0,2.405587231149476,0.0,1299.0,15505.0,0.019027855160040155,0.0,306.0,3856294.0,4.732473633442882,0.0,2206.0
Florida,7981147.0,13.632965512529251,0.0,1726.0,453493.0,0.7746323215414311,0.0,1237.0,2342900.0,4.002015612455802,0.0,1523.0,2120447.0,3.622033377175751,0.0,1424.0,21330.0,0.036434757357839534,0.0,419.0,3042977.0,5.197849443998429,0.0,1716.0
Illinois,7133951.0,16.101546065995578,0.0,1652.0,473548.0,1.0688123504717193,0.0,1167.0,2155087.0,4.864097413442875,0.0,1487.0,1635132.0,3.6905430415745046,0.0,1288.0,3813.0,0.008606057870265879,0.0,339.0,2866371.0,6.469487202636212,0.0,1514.0
New York,6449596.0,16.561375938536756,0.0,2695.0,304113.0,0.7809062336301729,0.0,1302.0,1745746.0,4.482754547602173,0.0,2695.0,1752996.0,4.501371213755277,0.0,1523.0,6456.0,0.016577820232335994,0.0,816.0,2640285.0,6.779766123316796,0.0,1248.0
North Carolina,4380876.0,12.843603229608261,0.0,1768.0,245000.0,0.7182770731821727,0.0,1080.0,1224228.0,3.5891220601945504,0.0,1768.0,989646.0,2.901387887209977,0.0,1317.0,9872.0,0.028942168434507788,0.0,560.0,1912130.0,5.605874040587052,0.0,1651.0
Colorado,4270594.0,15.119822977518146,0.0,1631.0,270985.0,0.9594087449106037,0.0,1389.0,1311720.0,4.6440785979819434,0.0,1594.0,923885.0,3.270968312975748,0.0,1418.0,2391.0,0.008465215082315455,0.0,336.0,1761613.0,6.236902106567534,0.0,1627.0
Georgia,4070089.0,9.650065913013789,0.0,1461.0,273362.0,0.6481335710627644,0.0,1332.0,1466630.0,3.4773382523093264,0.0,1444.0,977437.0,2.317475484152425,0.0,1215.0,3912.0,0.009275241364921,0.0,286.0,1348748.0,3.1978433641243527,0.0,1269.0
Virginia,3935009.0,14.51545422016961,0.0,1933.0,236777.0,0.8734225776584247,0.0,1226.0,1066427.0,3.9338340262126,0.0,1933.0,1001735.0,3.6951982913486616,0.0,1428.0,2868.0,0.01057947331338923,0.0,134.0,1627202.0,6.002419851636535,0.0,1407.0
New Jersey,2940041.0,20.674666854189375,0.0,1400.0,146325.0,1.0289722583594108,0.0,1239.0,720847.0,5.069069301360711,0.0,1202.0,695379.0,4.8899757392496745,0.0,952.0,2311.0,0.016251186667135473,0.0,288.0,1375179.0,9.670398368552442,0.0,1365.0
