ROUTE BETWEEN STATES,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
California -> California,2756674.0,11.005038085048625,0.0,1909.0,44897.0,0.179235264998483,0.0,1116.0,819684.0,3.2722961212334125,0.0,1780.0,631668.0,2.5217092761445477,0.0,1102.0,3829.0,0.015285917314724623,0.0,196.0,1256596.0,5.016511505357457,0.0,1038.0
Texas -> Texas,2501767.0,11.987211491928722,0.0,1519.0,189805.0,0.9094502714383598,0.0,1166.0,752934.0,3.607681729539106,0.0,1519.0,469163.0,2.2479935602267336,0.0,1418.0,1669.0,0.00799701010526921,0.0,73.0,1088196.0,5.214088920619253,0.0,1081.0
Florida -> New York,1116806.0,18.438269770513454,0.0,1272.0,42427.0,0.7004622750536569,0.0,578.0,335275.0,5.535331021958065,0.0,1180.0,367286.0,6.063826977051345,0.0,1152.0,2982.0,0.049232293214462604,0.0,211.0,368836.0,6.089417203235925,0.0,819.0
New York -> Florida,993341.0,16.377982226179288,0.0,1521.0,32213.0,0.531120674020214,0.0,829.0,331652.0,5.468203327232857,0.0,1521.0,238470.0,3.9318395409803633,0.0,1071.0,2804.0,0.04623171918022786,0.0,816.0,388202.0,6.400586964765626,0.0,853.0
Texas -> California,945626.0,13.42322597129757,0.0,1397.0,58323.0,0.8278989878916064,0.0,875.0,302230.0,4.290175592998992,0.0,1241.0,231413.0,3.284923417604724,0.0,795.0,1094.0,0.015529405084673584,0.0,105.0,352566.0,5.004698567717575,0.0,1384.0
Florida -> New Jersey,796659.0,26.971561092866573,0.0,1523.0,32382.0,1.0963198699935675,0.0,1237.0,136123.0,4.608558756813488,0.0,1523.0,422512.0,14.30449944137861,0.0,1424.0,761.0,0.025764295629210822,0.0,187.0,204881.0,6.936418729051698,0.0,717.0
Texas -> Florida,791062.0,13.705637755986,0.0,1570.0,53630.0,0.9291728750129942,0.0,1338.0,267372.0,4.6323850445268375,0.0,1570.0,149269.0,2.5861776222322326,0.0,644.0,1302.0,0.02255795419106691,0.0,366.0,319489.0,5.53534426002287,0.0,946.0
Florida -> Texas,785588.0,13.60843957871397,0.0,1726.0,56947.0,0.9864710365853658,0.0,1139.0,209152.0,3.623059866962306,0.0,1458.0,202196.0,3.5025637472283813,0.0,1218.0,1934.0,0.03350194013303769,0.0,208.0,315359.0,5.462842987804878,0.0,1716.0
California -> Texas,728614.0,10.352424660064505,0.0,1638.0,15736.0,0.22358306929426977,0.0,736.0,248228.0,3.526917776104346,0.0,1638.0,136381.0,1.9377530867705772,0.0,1194.0,1509.0,0.021440445574800016,0.0,175.0,326760.0,4.642730282320513,0.0,1177.0
New York -> Illinois,686593.0,21.077945600785903,0.0,2695.0,35425.0,1.0875237919813348,0.0,922.0,148344.0,4.5540615214588325,0.0,2695.0,253220.0,7.773684533677166,0.0,1106.0,164.0,0.005034690243752686,0.0,54.0,249440.0,7.657641063424817,0.0,1115.0
Illinois -> New York,672222.0,20.706690487925087,0.0,1185.0,35517.0,1.094042631838344,0.0,1157.0,146010.0,4.497597338590438,0.0,1122.0,233267.0,7.185405372104485,0.0,1093.0,38.0,0.0011705273533760474,0.0,18.0,257390.0,7.928474618038442,0.0,1054.0
Nevada -> California,625502.0,11.119640190571001,0.0,1701.0,10990.0,0.195370831259333,0.0,1280.0,173506.0,3.0844414420820594,0.0,1583.0,158464.0,2.817037616440304,0.0,1056.0,699.0,0.012426224845338833,0.0,91.0,281843.0,5.010364075943967,0.0,1466.0
Florida -> Georgia,596067.0,9.108046574170283,0.0,1229.0,40332.0,0.6162826233115335,0.0,823.0,178890.0,2.7334820609987163,0.0,1229.0,145166.0,2.2181712609253714,0.0,1188.0,1779.0,0.02718354623800501,0.0,220.0,229900.0,3.5129270826966565,0.0,1161.0
Colorado -> California,595163.0,14.50343600740813,0.0,1240.0,27494.0,0.6699970757383761,0.0,713.0,166848.0,4.065893361926114,0.0,1166.0,144470.0,3.5205673067550443,0.0,989.0,114.0,0.0027780485427429573,0.0,32.0,256237.0,6.244200214445852,0.0,1207.0
New Jersey -> Florida,594694.0,19.946803515127122,0.0,1034.0,21755.0,0.7296907493124035,0.0,892.0,148338.0,4.975447776212517,0.0,877.0,138266.0,4.637619910109344,0.0,658.0,637.0,0.021365801301402025,0.0,288.0,285698.0,9.582679278191454,0.0,969.0
Virginia -> New York,587039.0,19.226378017227262,0.0,1236.0,28041.0,0.9183833884649396,0.0,1123.0,128518.0,4.2091507549209055,0.0,1215.0,225244.0,7.377067435234009,0.0,927.0,329.0,0.010775226803786068,0.0,134.0,204907.0,6.711001211803622,0.0,1198.0
Georgia -> Florida,585009.0,8.950292218720357,0.0,1215.0,40675.0,0.6223034790857073,0.0,1008.0,233234.0,3.5683424619809676,0.0,1036.0,113299.0,1.7334077904592882,0.0,1215.0,664.0,0.010158807870016218,0.0,286.0,197137.0,3.016079679324378,0.0,898.0
