ROUTE_BETWEEN_AIRPORTS,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
ORD->LGA,362970.0,24.688477758128148,20693.0,1.4074955788328118,61310.0,4.17018092776493,163069.0,11.09162018772956,11.0,7.481975241463747E-4,117887.0,8.018432866276697
LGA->ORD,349416.0,23.771413021293966,18905.0,1.2861419144159467,57134.0,3.8869310837471938,134194.0,9.129464589427853,21.0,0.001428668616912715,139162.0,9.467446765086061
LAX->SFO,235788.0,16.116746411483252,599.0,0.04094326725905673,38409.0,2.6253588516746413,116969.0,7.995146958304853,156.0,0.010663021189336978,79655.0,5.444634313055365
BOS->LGA,219601.0,21.314277394933516,7500.0,0.7279433174803456,47893.0,4.648451907211491,86386.0,8.384548189847617,0.0,0.0,77822.0,7.55333398039406
LGA->BOS,216002.0,20.95275972451256,6271.0,0.6083034241924532,48307.0,4.685905519449025,58366.0,5.6616548646813465,15.0,0.0014550392860607237,103043.0,9.995440876903677
MCO->EWR,210954.0,30.533217542336082,10677.0,1.5453755970473295,45158.0,6.5361123172673325,102122.0,14.781010276451006,187.0,0.027066145607179043,52810.0,7.643653205963236
SFO->LAX,199550.0,13.654714657178049,982.0,0.0671958396058574,43823.0,2.9986998768304365,42899.0,2.9354728342685097,345.0,0.023607499657862324,111501.0,7.6297386068153825
LAX->JFK,172956.0,13.447053335406624,1569.0,0.12198724926139014,58883.0,4.578059399782305,65431.0,5.087155963302752,191.0,0.01484994557611569,46882.0,3.6450007774840616
DCA->BOS,169426.0,19.116100643123097,7736.0,0.8728421527699425,32714.0,3.6910752566850955,60326.0,6.806498928128173,41.0,0.004625973146790026,68609.0,7.741058332393095
ATL->EWR,162111.0,24.757330482590103,5712.0,0.872327428222358,21532.0,3.2883323152107513,101413.0,15.4876298106292,24.0,0.0036652412950519244,33430.0,5.105375687232743
JFK->LAX,161734.0,12.631521399562637,9641.0,0.7529678225554515,60575.0,4.73094345517026,54250.0,4.236957200874727,662.0,0.05170259293970634,36606.0,2.858950328022493
SEA->SFO,161564.0,17.350085910652922,7567.0,0.8126073883161512,25730.0,2.763101374570447,88124.0,9.463487972508592,16.0,0.001718213058419244,40127.0,4.309170962199313
EWR->MCO,156942.0,22.7254561251086,6295.0,0.9115262090935419,38451.0,5.567767158992181,35971.0,5.208659136982334,53.0,0.0076744859542426875,76172.0,11.029829134086302
ORD->DFW,155667.0,20.439469537815125,10082.0,1.3237920168067228,46602.0,6.118960084033613,47778.0,6.273371848739496,34.0,0.004464285714285714,51171.0,6.718881302521009
ORD->BOS,154475.0,20.0903888672129,7124.0,0.9265184029132527,32665.0,4.248276759006373,50614.0,6.582650539732085,0.0,0.0,64072.0,8.332943165561192
EWR->SFO,152985.0,26.34039256198347,14382.0,2.4762396694214877,29880.0,5.144628099173554,61468.0,10.583333333333334,0.0,0.0,47255.0,8.136191460055096
EWR->BOS,152443.0,26.576534170153415,5015.0,0.874302649930265,24401.0,4.254009762900976,36990.0,6.448744769874477,0.0,0.0,86037.0,14.999476987447698
ORD->SFO,151425.0,23.8389483627204,4756.0,0.7487405541561712,26641.0,4.1941120906801,59780.0,9.411209068010075,92.0,0.014483627204030227,60156.0,9.470403022670025
ATL->LGA,150777.0,15.846242774566473,6566.0,0.6900683131897005,31344.0,3.294167104571729,78808.0,8.282501313715187,440.0,0.046242774566473986,33619.0,3.5332632685233842
LGA->ATL,147802.0,15.530314174634864,3530.0,0.37091520437112535,34713.0,3.6474729431543556,36725.0,3.858884102133025,78.0,0.00819586003992855,72756.0,7.64484606493643
FLL->EWR,146228.0,29.274874874874875,8003.0,1.6022022022022022,22387.0,4.481881881881882,86407.0,17.298698698698697,179.0,0.035835835835835834,29252.0,5.856256256256256
BOS->ORD,145821.0,18.9353330736268,7720.0,1.002467212050383,29409.0,3.8188546941955592,56886.0,7.386832878846903,42.0,0.005453837164004675,51764.0,6.721724451369952
LAS->SFO,145602.0,18.700488055484204,2577.0,0.3309786796814796,25795.0,3.312997688158233,68832.0,8.840482918058052,72.0,0.009247367069098381,48326.0,6.206781402517339
BOS->EWR,145553.0,25.335596170583116,3199.0,0.5568320278503046,22252.0,3.8732811140121846,72967.0,12.700957354221062,0.0,0.0,47135.0,8.204525674499564
DFW->ORD,144963.0,19.024015748031495,10685.0,1.402230971128609,37585.0,4.93241469816273,51691.0,6.783595800524934,161.0,0.021128608923884514,44841.0,5.884645669291339
