ROUTE_BETWEEN_CITIES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Chicago, IL->New York, NY",58788.0,35.60751059963658,6068.0,3.6753482737734706,9463.0,5.73167777104785,21346.0,12.929133858267717,0.0,0.0,21911.0,13.271350696547547
"New York, NY->Chicago, IL",50891.0,30.82434887946699,4361.0,2.6414294367050273,5928.0,3.590551181102362,18770.0,11.368867353119322,0.0,0.0,21832.0,13.223500908540279
"New York, NY->Boston, MA",36804.0,27.22189349112426,4774.0,3.5310650887573964,7238.0,5.353550295857988,10603.0,7.8424556213017755,0.0,0.0,14189.0,10.4948224852071
"Boston, MA->New York, NY",35155.0,25.96381093057607,1904.0,1.4062038404726735,8455.0,6.244460856720827,12162.0,8.982274741506647,0.0,0.0,12634.0,9.330871491875923
"Los Angeles, CA->San Francisco, CA",32959.0,25.649027237354087,178.0,0.13852140077821012,3374.0,2.62568093385214,20137.0,15.670817120622567,0.0,0.0,9270.0,7.214007782101167
"Washington, DC->New York, NY",30588.0,29.6108422071636,1287.0,1.2458857696030978,4019.0,3.8906098741529527,17014.0,16.470474346563407,134.0,0.12971926427879962,8134.0,7.8741529525653435
"San Francisco, CA->Los Angeles, CA",29190.0,22.751363990646922,500.0,0.3897116134060795,4883.0,3.8059236165237724,9673.0,7.539360872954014,20.0,0.01558846453624318,14114.0,11.000779423226811
"New York, NY->Washington, DC",25286.0,24.57337220602527,272.0,0.26433430515063167,4983.0,4.8425655976676385,5850.0,5.685131195335277,0.0,0.0,14181.0,13.78134110787172
"Chicago, IL->Atlanta, GA",19643.0,21.30477223427332,4066.0,4.40997830802603,4160.0,4.511930585683297,5103.0,5.53470715835141,28.0,0.03036876355748373,6286.0,6.817787418655097
"Raleigh/Durham, NC->New York, NY",19479.0,27.205307262569832,14.0,0.019553072625698324,2940.0,4.106145251396648,9918.0,13.85195530726257,0.0,0.0,6607.0,9.227653631284916
"Detroit, MI->Chicago, IL",18630.0,26.27644569816643,4353.0,6.139633286318759,3326.0,4.691114245416079,4561.0,6.433004231311707,0.0,0.0,6390.0,9.012693935119888
"Las Vegas, NV->San Francisco, CA",17187.0,25.12719298245614,106.0,0.15497076023391812,2150.0,3.1432748538011697,9696.0,14.175438596491228,0.0,0.0,5235.0,7.6535087719298245
"Chicago, IL->Minneapolis, MN",17159.0,17.967539267015706,3047.0,3.1905759162303666,4680.0,4.900523560209424,2221.0,2.32565445026178,0.0,0.0,7211.0,7.550785340314136
"Chicago, IL->Detroit, MI",17024.0,24.011283497884346,1185.0,1.6713681241184768,4533.0,6.393511988716502,3075.0,4.337094499294781,0.0,0.0,8231.0,11.609308885754585
"Minneapolis, MN->Chicago, IL",16922.0,17.737945492662472,4271.0,4.476939203354298,2505.0,2.6257861635220126,6532.0,6.846960167714885,0.0,0.0,3614.0,3.788259958071279
"Washington, DC->Boston, MA",16801.0,21.595115681233935,1705.0,2.191516709511568,2975.0,3.8239074550128533,6082.0,7.817480719794345,0.0,0.0,6039.0,7.762210796915167
"Atlanta, GA->New York, NY",16618.0,15.647834274952919,565.0,0.532015065913371,2293.0,2.159133709981168,10083.0,9.494350282485875,88.0,0.08286252354048965,3589.0,3.379472693032015
"Chicago, IL->San Francisco, CA",16295.0,31.33653846153846,1162.0,2.2346153846153847,2967.0,5.7057692307692305,7820.0,15.038461538461538,0.0,0.0,4346.0,8.357692307692307
"Chicago, IL->Washington, DC",16040.0,16.9376979936642,2601.0,2.746568109820486,3891.0,4.108764519535375,3084.0,3.256599788806758,0.0,0.0,6464.0,6.825765575501584
"Atlanta, GA->Chicago, IL",15951.0,16.825949367088608,543.0,0.5727848101265823,3501.0,3.6930379746835444,9632.0,10.160337552742616,0.0,0.0,2275.0,2.399789029535865
"Washington, DC->Chicago, IL",15799.0,16.700845665961946,635.0,0.671247357293869,1094.0,1.1564482029598309,9827.0,10.387949260042284,0.0,0.0,4243.0,4.485200845665962
"San Diego, CA->San Francisco, CA",15672.0,24.876190476190477,244.0,0.3873015873015873,1583.0,2.5126984126984127,8614.0,13.673015873015872,0.0,0.0,5231.0,8.303174603174604
"Orlando, FL->Newark, NJ",15412.0,28.38305709023941,148.0,0.27255985267034993,3591.0,6.613259668508287,9529.0,17.548802946593003,5.0,0.009208103130755065,2139.0,3.9392265193370166
"Seattle, WA->San Francisco, CA",15247.0,22.893393393393392,20.0,0.03003003003003003,805.0,1.2087087087087087,12594.0,18.90990990990991,0.0,0.0,1828.0,2.744744744744745
"New York, NY->Raleigh/Durham, NC",15026.0,20.840499306518723,66.0,0.09153952843273232,3372.0,4.676837725381414,2743.0,3.8044382801664356,29.0,0.04022191400832178,8816.0,12.22746185852982
"San Francisco, CA->Chicago, IL",14958.0,28.820809248554912,1399.0,2.695568400770713,2673.0,5.1502890173410405,6480.0,12.485549132947977,0.0,0.0,4406.0,8.489402697495184
"Fort Lauderdale, FL->New York, NY",14925.0,20.223577235772357,0.0,0.0,2664.0,3.6097560975609757,8323.0,11.277777777777779,300.0,0.4065040650406504,3638.0,4.929539295392954
"Cleveland, OH->New York, NY",14744.0,25.376936316695353,258.0,0.4440619621342513,1299.0,2.2358003442340793,8112.0,13.962134251290879,4.0,0.0068846815834767644,5071.0,8.728055077452668
"Chicago, IL->Boston, MA",14713.0,25.76707530647986,1040.0,1.8213660245183887,3627.0,6.352014010507881,4654.0,8.15061295971979,33.0,0.05779334500875657,5359.0,9.385288966725044
"Boston, MA->Chicago, IL",14685.0,25.494791666666668,667.0,1.1579861111111112,3954.0,6.864583333333333,5817.0,10.098958333333334,15.0,0.026041666666666668,4232.0,7.347222222222222
