ROUTE_BETWEEN_STATES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
California->California,265979.0,12.825063889290709,5881.0,0.28357201407975313,60543.0,2.9192825112107625,90220.0,4.350257968079464,20.0,9.643666522011669E-4,109315.0,5.270987029268528
Texas->Texas,110755.0,6.708764916106366,3711.0,0.22478648010176266,39844.0,2.413471439820704,19982.0,1.2103701011569448,130.0,0.007874492700950997,47088.0,2.852262402326004
Florida->New York,90781.0,16.876928797174195,581.0,0.10801264175497305,22709.0,4.221788436512363,34781.0,6.466071760550288,603.0,0.1121026213050753,32107.0,5.968953337051497
New York->Florida,87021.0,16.189953488372094,2888.0,0.5373023255813953,27437.0,5.104558139534884,22212.0,4.13246511627907,840.0,0.15627906976744185,33644.0,6.259348837209302
Illinois->New York,74753.0,29.78207171314741,7920.0,3.1553784860557768,13475.0,5.368525896414343,25359.0,10.103187250996015,0.0,0.0,27999.0,11.154980079681275
Florida->New Jersey,68519.0,26.07267884322679,662.0,0.2519025875190259,10442.0,3.9733637747336377,42240.0,16.073059360730593,44.0,0.0167427701674277,15131.0,5.757610350076104
Virginia->New York,68237.0,26.40750773993808,3262.0,1.2623839009287925,10573.0,4.09171826625387,32107.0,12.42530959752322,174.0,0.0673374613003096,22121.0,8.560758513931889
New York->Illinois,66288.0,26.43062200956938,4947.0,1.972488038277512,10363.0,4.131977671451356,24422.0,9.737639553429027,17.0,0.006778309409888357,26539.0,10.581738437001595
Nevada->California,58117.0,12.302497883149872,236.0,0.04995766299745978,13763.0,2.9134208298052497,21124.0,4.4716342082980525,51.0,0.010795935647756138,22943.0,4.856689246401355
New York->Virginia,55393.0,21.604134165366613,1438.0,0.5608424336973479,11108.0,4.332293291731669,10887.0,4.246099843993759,6.0,0.00234009360374415,31954.0,12.462558502340094
Illinois->Florida,52959.0,18.549562171628722,8368.0,2.9309982486865147,14950.0,5.2364273204903675,13457.0,4.713485113835376,209.0,0.07320490367775832,15975.0,5.595446584938704
Florida->Illinois,49837.0,17.425524475524476,2923.0,1.0220279720279721,8790.0,3.0734265734265733,25235.0,8.823426573426573,35.0,0.012237762237762238,12854.0,4.4944055944055945
New Jersey->Florida,48040.0,18.1900795153351,167.0,0.06323362362741386,13972.0,5.290420295342673,11224.0,4.249905338886785,60.0,0.022718667171525937,22617.0,8.563801590306703
Texas->California,47864.0,8.513696193525435,935.0,0.16631092138029172,15078.0,2.6819637139807897,17709.0,3.1499466382070436,0.0,0.0,14142.0,2.5154749199573105
California->Nevada,47331.0,10.00443880786303,737.0,0.15578101881209047,11336.0,2.396110758824773,13079.0,2.7645318114563517,0.0,0.0,22179.0,4.6880152187698165
California->Texas,46743.0,8.298064974258832,711.0,0.12622048641931474,15605.0,2.7702822652227943,9108.0,1.616900408308184,13.0,0.0023078288656133497,21306.0,3.7823539854429256
North Carolina->New York,44819.0,19.194432548179872,408.0,0.1747323340471092,7330.0,3.139186295503212,21661.0,9.276659528907922,15.0,0.006423982869379015,15405.0,6.597430406852248
Colorado->California,44657.0,13.208222419402544,348.0,0.10292812777284827,12065.0,3.5684708666075124,14493.0,4.286601597160604,32.0,0.009464655427388346,17719.0,5.240757172434191
Florida->Massachusetts,42854.0,23.95416433761878,664.0,0.37115707098937956,9649.0,5.393515930687535,18258.0,10.20570150922303,20.0,0.011179429849077696,14263.0,7.97261039686976
California->Illinois,42292.0,18.51663747810858,3015.0,1.3200525394045535,6423.0,2.8121716287215412,23377.0,10.235113835376533,22.0,0.009632224168126095,9455.0,4.139667250437828
New York->Massachusetts,41624.0,26.178616352201256,5442.0,3.422641509433962,8301.0,5.220754716981132,11640.0,7.320754716981132,0.0,0.0,16241.0,10.214465408805031
New York->North Carolina,41398.0,17.69901667379222,1047.0,0.4476271911073108,12601.0,5.387345019238991,6832.0,2.920906370243694,29.0,0.012398460880718255,20889.0,8.930739632321504
Illinois->California,41345.0,18.078268473983385,5587.0,2.4429383471797115,9514.0,4.160034980323568,12161.0,5.317446436379536,25.0,0.010931351114997814,14058.0,6.14691735898557
Oregon->California,41240.0,15.251479289940828,2508.0,0.9275147928994083,7420.0,2.7440828402366866,16741.0,6.191198224852071,32.0,0.011834319526627219,14539.0,5.376849112426036
California->Colorado,40763.0,12.095845697329377,1007.0,0.298813056379822,13031.0,3.866765578635015,9259.0,2.7474777448071217,9.0,0.0026706231454005935,17457.0,5.180118694362018
