ROUTE_BETWEEN_STATES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
California->California,2756674.0,11.005038085048625,44897.0,0.179235264998483,819684.0,3.2722961212334125,631668.0,2.5217092761445477,3829.0,0.015285917314724623,1256596.0,5.016511505357457
Texas->Texas,2501767.0,11.987211491928722,189805.0,0.9094502714383598,752934.0,3.607681729539106,469163.0,2.2479935602267336,1669.0,0.00799701010526921,1088196.0,5.214088920619253
Florida->New York,1116806.0,18.438269770513454,42427.0,0.7004622750536569,335275.0,5.535331021958065,367286.0,6.063826977051345,2982.0,0.049232293214462604,368836.0,6.089417203235925
New York->Florida,993341.0,16.377982226179288,32213.0,0.531120674020214,331652.0,5.468203327232857,238470.0,3.9318395409803633,2804.0,0.04623171918022786,388202.0,6.400586964765626
Texas->California,945626.0,13.42322597129757,58323.0,0.8278989878916064,302230.0,4.290175592998992,231413.0,3.284923417604724,1094.0,0.015529405084673584,352566.0,5.004698567717575
Florida->New Jersey,796659.0,26.971561092866573,32382.0,1.0963198699935675,136123.0,4.608558756813488,422512.0,14.30449944137861,761.0,0.025764295629210822,204881.0,6.936418729051698
Texas->Florida,791062.0,13.705637755986,53630.0,0.9291728750129942,267372.0,4.6323850445268375,149269.0,2.5861776222322326,1302.0,0.02255795419106691,319489.0,5.53534426002287
Florida->Texas,785588.0,13.60843957871397,56947.0,0.9864710365853658,209152.0,3.623059866962306,202196.0,3.5025637472283813,1934.0,0.03350194013303769,315359.0,5.462842987804878
California->Texas,728614.0,10.352424660064505,15736.0,0.22358306929426977,248228.0,3.526917776104346,136381.0,1.9377530867705772,1509.0,0.021440445574800016,326760.0,4.642730282320513
New York->Illinois,686593.0,21.077945600785903,35425.0,1.0875237919813348,148344.0,4.5540615214588325,253220.0,7.773684533677166,164.0,0.005034690243752686,249440.0,7.657641063424817
Illinois->New York,672222.0,20.706690487925087,35517.0,1.094042631838344,146010.0,4.497597338590438,233267.0,7.185405372104485,38.0,0.0011705273533760474,257390.0,7.928474618038442
Nevada->California,625502.0,11.119640190571001,10990.0,0.195370831259333,173506.0,3.0844414420820594,158464.0,2.817037616440304,699.0,0.012426224845338833,281843.0,5.010364075943967
Florida->Georgia,596067.0,9.108046574170283,40332.0,0.6162826233115335,178890.0,2.7334820609987163,145166.0,2.2181712609253714,1779.0,0.02718354623800501,229900.0,3.5129270826966565
Colorado->California,595163.0,14.50343600740813,27494.0,0.6699970757383761,166848.0,4.065893361926114,144470.0,3.5205673067550443,114.0,0.0027780485427429573,256237.0,6.244200214445852
New Jersey->Florida,594694.0,19.946803515127122,21755.0,0.7296907493124035,148338.0,4.975447776212517,138266.0,4.637619910109344,637.0,0.021365801301402025,285698.0,9.582679278191454
Virginia->New York,587039.0,19.226378017227262,28041.0,0.9183833884649396,128518.0,4.2091507549209055,225244.0,7.377067435234009,329.0,0.010775226803786068,204907.0,6.711001211803622
Georgia->Florida,585009.0,8.950292218720357,40675.0,0.6223034790857073,233234.0,3.5683424619809676,113299.0,1.7334077904592882,664.0,0.010158807870016218,197137.0,3.016079679324378
